"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05024
CalibrationParameters_A12,-0.09691
CalibrationParameters_A13,-0.08826
CalibrationParameters_A21,0.17897
CalibrationParameters_A22,-1.27492
CalibrationParameters_A23,0.09649
CalibrationParameters_A31,-0.00085
CalibrationParameters_A32,-0.00117
CalibrationParameters_E11,-0.17984
CalibrationParameters_E12,0.00031
CalibrationParameters_E21,-0.00009
CalibrationParameters_E22,0.20006
CalibrationParameters_X,38.52666
CalibrationParameters_Y,15.43870
CalibrationParameters_Rpc,120.12167
CalibrationParameters_MeanX,175.52915
CalibrationParameters_MeanY,129.76556
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,1,1,-21.969,-22.834,-2.05,-2.13,-2.05,-2.13,INF,-1,0,7,0
140,1,1,-21.419,-13.392,-2.00,-1.25,-2.00,-1.25,INF,-1,0,7,0
160,1,1,-21.333,-14.819,-1.99,-1.38,-1.99,-1.38,INF,-1,0,7,0
180,1,1,-22.317,-15.503,-2.08,-1.45,-2.08,-1.45,INF,-1,0,7,0
200,1,1,-20.615,-17.072,-1.93,-1.59,-1.93,-1.60,INF,-1,0,7,0
220,1,1,-25.428,-21.242,-2.38,-1.98,-2.37,-1.98,INF,-1,0,7,0
240,1,1,-37.295,-33.745,-3.48,-3.15,-3.48,-3.15,INF,-1,0,7,0
260,1,1,-34.196,-31.348,-3.19,-2.92,-3.19,-2.93,INF,-1,0,7,0
280,1,1,-34.862,-29.419,-3.25,-2.74,-3.25,-2.75,INF,-1,0,7,0
300,1,1,-33.820,-29.548,-3.16,-2.76,-3.15,-2.76,INF,-1,0,7,0
320,1,1,-34.235,-28.383,-3.20,-2.65,-3.19,-2.65,INF,-1,0,7,0
340,1,1,-33.389,-29.976,-3.12,-2.80,-3.11,-2.80,INF,-1,0,7,0
360,1,1,-32.160,-30.345,-3.00,-2.83,-3.00,-2.83,INF,-1,0,7,0
380,1,1,-31.222,-32.058,-2.92,-2.99,-2.91,-2.99,INF,-1,0,7,0
400,1,1,-29.853,-32.836,-2.79,-3.06,-2.78,-3.07,INF,-1,0,7,0
420,1,1,-29.900,-30.010,-2.79,-2.80,-2.79,-2.80,INF,-1,0,7,0
440,1,1,-28.545,-31.727,-2.67,-2.96,-2.66,-2.96,INF,-1,0,7,0
460,1,1,-28.647,-27.789,-2.68,-2.59,-2.67,-2.60,INF,-1,0,7,0
480,1,1,-8.868,-27.005,-0.83,-2.52,-0.83,-2.52,INF,-1,0,7,0
500,1,1,-10.039,-30.365,-0.94,-2.84,-0.94,-2.84,INF,-1,1,7,0
520,1,1,-6.033,-32.283,-0.56,-3.01,-0.56,-3.01,INF,-1,0,7,0
540,1,1,-4.924,-33.439,-0.46,-3.12,-0.46,-3.12,INF,-1,0,7,0
560,1,1,-3.748,-28.653,-0.35,-2.68,-0.35,-2.68,INF,-1,0,7,0
580,1,1,-3.198,-27.224,-0.30,-2.54,-0.30,-2.54,INF,-1,0,7,0
600,1,1,-1.047,-29.849,-0.10,-2.79,-0.10,-2.79,INF,-1,0,7,0
620,1,1,0.086,-24.590,0.01,-2.30,0.01,-2.30,INF,-1,0,7,0
640,1,1,1.420,-29.896,0.13,-2.79,0.13,-2.79,INF,-1,0,7,0
660,1,1,1.498,-28.811,0.14,-2.69,0.14,-2.69,INF,-1,0,7,0
680,1,1,2.603,-26.854,0.24,-2.51,0.24,-2.51,INF,-1,0,7,0
700,1,1,1.555,-22.566,0.15,-2.11,0.15,-2.11,INF,-1,0,7,0
720,1,1,3.889,-22.388,0.36,-2.09,0.36,-2.09,INF,-1,0,7,0
740,1,1,3.351,-19.626,0.31,-1.83,0.31,-1.83,INF,-1,0,7,0
760,1,1,3.032,-21.891,0.28,-2.05,0.28,-2.05,INF,-1,1,7,0
780,1,1,7.427,-24.567,0.69,-2.29,0.69,-2.29,INF,-1,1,7,0
800,1,1,4.717,-29.141,0.44,-2.72,0.44,-2.72,INF,-1,1,7,0
820,1,1,7.539,-21.944,0.70,-2.05,0.70,-2.05,INF,-1,1,7,0
840,1,1,6.654,-24.744,0.62,-2.31,0.62,-2.31,INF,-1,1,7,0
860,1,1,9.407,-22.088,0.88,-2.06,0.88,-2.06,INF,-1,1,7,0
880,1,1,8.919,-21.870,0.83,-2.04,0.83,-2.04,INF,-1,1,7,0
900,1,1,-11.507,-15.279,-1.08,-1.43,-1.08,-1.43,INF,-1,0,7,0
920,1,1,-8.801,-2.130,-0.82,-0.20,-0.82,-0.20,INF,-1,0,7,0
940,1,1,-8.127,-5.846,-0.76,-0.55,-0.76,-0.55,INF,-1,0,7,0
960,1,1,-7.594,-3.907,-0.71,-0.37,-0.71,-0.37,INF,-1,0,7,0
980,1,1,-7.550,-5.108,-0.71,-0.48,-0.71,-0.48,INF,-1,0,7,0
1000,1,1,-7.250,-6.386,-0.68,-0.60,-0.68,-0.60,INF,-1,0,7,0
1020,1,1,-5.417,-7.480,-0.51,-0.70,-0.51,-0.70,INF,-1,0,7,0
1040,1,1,-4.864,-7.637,-0.45,-0.71,-0.45,-0.71,INF,-1,0,7,0
1060,1,1,-6.498,-3.992,-0.61,-0.37,-0.61,-0.37,INF,-1,0,7,0
1080,1,1,-5.236,-5.976,-0.49,-0.56,-0.49,-0.56,INF,-1,0,7,0
1100,1,1,-5.309,-5.777,-0.50,-0.54,-0.50,-0.54,INF,-1,0,7,0
1120,1,1,-5.346,-8.594,-0.50,-0.80,-0.50,-0.80,INF,-1,0,7,0
1140,1,1,-5.005,-7.546,-0.47,-0.71,-0.47,-0.71,INF,-1,0,7,0
1160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1180,1,1,-4.347,-11.911,-0.41,-1.11,-0.41,-1.11,INF,-1,1,7,0
1200,1,1,-4.184,-6.746,-0.39,-0.63,-0.39,-0.63,INF,-1,1,7,0
1220,1,1,-3.491,-8.057,-0.33,-0.75,-0.33,-0.75,INF,-1,1,7,0
1240,1,1,-4.478,-11.024,-0.42,-1.03,-0.42,-1.03,INF,-1,1,7,0
1260,1,1,-4.286,-9.504,-0.40,-0.89,-0.40,-0.89,INF,-1,1,7,0
1280,1,1,-5.657,-8.574,-0.53,-0.80,-0.53,-0.80,INF,-1,1,7,0
1300,1,1,4.041,7.531,0.38,0.70,0.38,0.70,INF,-1,1,7,0
1320,1,1,5.554,13.730,0.52,1.28,0.52,1.28,INF,-1,1,7,0
