"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,0.94445
CalibrationParameters_A12,-0.00581
CalibrationParameters_A13,-0.17652
CalibrationParameters_A21,0.08612
CalibrationParameters_A22,-1.15533
CalibrationParameters_A23,0.08108
CalibrationParameters_A31,-0.00215
CalibrationParameters_A32,-0.00068
CalibrationParameters_E11,-0.18050
CalibrationParameters_E12,0.00025
CalibrationParameters_E21,0.00042
CalibrationParameters_E22,0.20012
CalibrationParameters_X,17.26343
CalibrationParameters_Y,10.99242
CalibrationParameters_Rpc,100.98157
CalibrationParameters_MeanX,170.46236
CalibrationParameters_MeanY,126.54897
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-50.800,23.696,-4.74,2.21,-4.73,2.21,INF,-1,0,7,0
20,1,1,-50.049,23.089,-4.67,2.15,-4.66,2.16,INF,-1,0,7,0
40,1,1,-50.864,22.842,-4.74,2.13,-4.74,2.13,INF,-1,0,7,0
60,1,1,-49.389,20.736,-4.61,1.93,-4.60,1.94,INF,-1,0,7,0
80,1,1,-49.143,20.881,-4.58,1.94,-4.58,1.95,INF,-1,0,7,0
100,1,1,-48.278,19.906,-4.50,1.85,-4.50,1.86,INF,-1,0,7,0
120,1,1,-48.073,19.509,-4.48,1.82,-4.48,1.82,INF,-1,0,7,0
140,1,1,-46.967,18.632,-4.38,1.74,-4.38,1.74,INF,-1,0,7,0
160,1,1,-47.745,19.495,-4.45,1.82,-4.45,1.82,INF,-1,0,7,0
180,1,1,-57.692,2.640,-5.38,0.25,-5.38,0.25,INF,-1,0,7,0
200,1,1,-55.409,6.140,-5.16,0.57,-5.16,0.57,INF,-1,0,7,0
220,1,1,-52.830,7.716,-4.93,0.72,-4.93,0.72,INF,-1,0,7,0
240,1,1,-53.468,8.113,-4.98,0.76,-4.98,0.76,INF,-1,0,7,0
260,1,1,-51.476,8.582,-4.80,0.80,-4.80,0.80,INF,-1,0,7,0
280,1,1,-50.253,9.726,-4.69,0.91,-4.69,0.91,INF,-1,1,7,0
300,1,1,-47.800,9.165,-4.46,0.85,-4.46,0.86,INF,-1,1,7,0
320,1,1,-32.448,0.844,-3.03,0.08,-3.03,0.08,INF,-1,1,7,0
340,1,1,-32.569,0.062,-3.04,0.01,-3.04,0.01,INF,-1,1,7,0
360,1,1,-30.038,4.137,-2.81,0.39,-2.81,0.39,INF,-1,0,7,0
380,1,1,-28.028,3.328,-2.62,0.31,-2.62,0.31,INF,-1,0,7,0
400,1,1,-26.459,3.746,-2.47,0.35,-2.47,0.35,INF,-1,0,7,0
420,1,1,-24.493,4.378,-2.29,0.41,-2.29,0.41,INF,-1,0,7,0
440,1,1,-22.212,4.195,-2.08,0.39,-2.08,0.39,INF,-1,0,7,0
460,1,1,-20.468,5.142,-1.91,0.48,-1.91,0.48,INF,-1,0,7,0
480,1,1,-8.212,-0.155,-0.77,-0.01,-0.77,-0.01,INF,-1,0,7,0
500,1,1,-7.003,-0.290,-0.65,-0.03,-0.65,-0.03,INF,-1,0,7,0
520,1,1,-6.939,2.362,-0.65,0.22,-0.65,0.22,INF,-1,0,7,0
540,1,1,-5.150,2.574,-0.48,0.24,-0.48,0.24,INF,-1,0,7,0
560,1,1,-2.847,2.492,-0.27,0.23,-0.27,0.23,INF,-1,0,7,0
580,1,1,-1.705,2.085,-0.16,0.19,-0.16,0.19,INF,-1,0,7,0
600,1,1,-1.258,0.885,-0.12,0.08,-0.12,0.08,INF,-1,0,7,0
620,1,1,-0.141,1.605,-0.01,0.15,-0.01,0.15,INF,-1,0,7,0
640,1,1,0.034,1.918,0.00,0.18,0.00,0.18,INF,-1,0,7,0
660,1,1,2.446,0.769,0.23,0.07,0.23,0.07,INF,-1,0,7,0
680,1,1,2.590,0.410,0.24,0.04,0.24,0.04,INF,-1,1,7,0
700,1,1,3.003,3.279,0.28,0.31,0.28,0.31,INF,-1,0,7,0
720,1,1,0.622,9.991,0.06,0.93,0.06,0.93,INF,-1,0,7,0
740,1,1,2.223,9.594,0.21,0.90,0.21,0.90,INF,-1,0,7,0
760,1,1,2.172,10.567,0.20,0.99,0.20,0.99,INF,-1,0,7,0
780,1,1,2.917,10.126,0.27,0.95,0.27,0.95,INF,-1,0,7,0
800,1,1,3.933,9.206,0.37,0.86,0.37,0.86,INF,-1,0,7,0
820,1,1,3.485,9.181,0.33,0.86,0.33,0.86,INF,-1,0,7,0
840,1,1,4.338,9.079,0.41,0.85,0.41,0.85,INF,-1,0,7,0
860,1,1,4.340,9.427,0.41,0.88,0.41,0.88,INF,-1,0,7,0
880,1,1,4.958,9.153,0.46,0.86,0.46,0.86,INF,-1,0,7,0
900,1,1,5.661,8.594,0.53,0.80,0.53,0.80,INF,-1,0,7,0
920,1,1,5.315,8.561,0.50,0.80,0.50,0.80,INF,-1,0,7,0
940,1,1,5.984,9.790,0.56,0.91,0.56,0.91,INF,-1,1,7,0
960,1,1,5.778,9.115,0.54,0.85,0.54,0.85,INF,-1,1,7,0
980,1,1,7.257,9.877,0.68,0.92,0.68,0.92,INF,-1,1,7,0
1000,1,1,7.220,11.918,0.67,1.11,0.67,1.11,INF,-1,1,7,0
1020,1,1,6.968,11.926,0.65,1.11,0.65,1.11,INF,-1,1,7,0
1040,1,1,8.677,9.413,0.81,0.88,0.81,0.88,INF,-1,1,7,0
1060,1,1,4.410,9.815,0.41,0.92,0.41,0.92,INF,-1,1,7,0
1080,1,1,4.853,10.986,0.45,1.03,0.45,1.03,INF,-1,1,7,0
1100,1,1,5.448,10.761,0.51,1.01,0.51,1.01,INF,-1,1,7,0
1120,1,1,5.222,10.606,0.49,0.99,0.49,0.99,INF,-1,1,7,0
1140,1,1,5.868,10.713,0.55,1.00,0.55,1.00,INF,-1,1,7,0
1160,1,1,6.122,11.845,0.57,1.11,0.57,1.11,INF,-1,1,7,0
1180,1,1,5.549,11.463,0.52,1.07,0.52,1.07,INF,-1,1,7,0
1200,1,1,6.127,10.255,0.57,0.96,0.57,0.96,INF,-1,1,7,0
1220,1,1,5.153,12.345,0.48,1.15,0.48,1.15,INF,-1,1,7,0
1240,1,1,6.874,10.670,0.64,1.00,0.64,1.00,INF,-1,1,7,0
1260,1,1,6.749,10.216,0.63,0.95,0.63,0.95,INF,-1,1,7,0
1280,1,1,6.873,10.191,0.64,0.95,0.64,0.95,INF,-1,1,7,0
1300,1,1,8.687,9.226,0.81,0.86,0.81,0.86,INF,-1,1,7,0
1320,1,1,7.854,7.558,0.73,0.71,0.73,0.71,INF,-1,1,7,0
1340,1,1,8.243,9.497,0.77,0.89,0.77,0.89,INF,-1,1,7,0
1360,1,1,9.266,9.223,0.87,0.86,0.87,0.86,INF,-1,1,7,0
1380,1,1,8.498,9.797,0.79,0.92,0.79,0.92,INF,-1,1,7,0
1400,1,1,9.193,10.642,0.86,0.99,0.86,0.99,INF,-1,1,7,0
1420,1,1,9.783,9.840,0.91,0.92,0.91,0.92,INF,-1,1,7,0
1440,1,1,8.086,11.025,0.76,1.03,0.76,1.03,INF,-1,1,7,0
1460,1,1,6.385,15.352,0.60,1.43,0.60,1.43,INF,-1,1,7,0
1480,1,1,7.768,12.210,0.73,1.14,0.73,1.14,INF,-1,1,7,0
1500,1,1,8.369,12.166,0.78,1.14,0.78,1.14,INF,-1,1,7,0
1520,1,1,9.014,10.581,0.84,0.99,0.84,0.99,INF,-1,1,7,0
1540,1,1,7.519,13.821,0.70,1.29,0.70,1.29,INF,-1,1,7,0
