"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,0.98707
CalibrationParameters_A12,0.00185
CalibrationParameters_A13,-0.12102
CalibrationParameters_A21,0.15527
CalibrationParameters_A22,-1.18869
CalibrationParameters_A23,0.06046
CalibrationParameters_A31,-0.00156
CalibrationParameters_A32,-0.00054
CalibrationParameters_E11,-0.17998
CalibrationParameters_E12,0.00029
CalibrationParameters_E21,0.00017
CalibrationParameters_E22,0.20001
CalibrationParameters_X,20.21787
CalibrationParameters_Y,12.81371
CalibrationParameters_Rpc,99.30329
CalibrationParameters_MeanX,171.78144
CalibrationParameters_MeanY,128.57758
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-62.949,-29.584,-5.86,-2.75,-5.86,-2.76,INF,-1,0,7,0
40,1,1,-62.547,-27.938,-5.83,-2.60,-5.82,-2.61,INF,-1,0,7,0
60,1,1,-61.516,-30.379,-5.73,-2.82,-5.72,-2.84,INF,-1,0,7,0
80,1,1,-61.473,-31.662,-5.73,-2.94,-5.72,-2.96,INF,-1,0,7,0
100,1,1,-61.603,-34.260,-5.74,-3.18,-5.73,-3.20,INF,-1,0,7,0
120,1,1,-61.175,-33.654,-5.70,-3.13,-5.69,-3.14,INF,-1,0,7,0
140,1,1,-61.343,-33.744,-5.71,-3.14,-5.71,-3.15,INF,-1,0,7,0
160,1,1,-60.736,-33.640,-5.66,-3.13,-5.65,-3.14,INF,-1,0,7,0
180,1,1,-60.601,-32.584,-5.65,-3.03,-5.64,-3.04,INF,-1,0,7,0
200,1,1,-61.750,-32.551,-5.75,-3.02,-5.74,-3.04,INF,-1,0,7,0
220,1,1,-56.411,-37.739,-5.26,-3.51,-5.25,-3.52,INF,-1,0,7,0
240,1,1,-34.827,-42.314,-3.25,-3.94,-3.24,-3.95,INF,-1,0,7,0
260,1,1,-41.009,-43.046,-3.83,-4.01,-3.82,-4.02,INF,-1,0,7,0
280,1,1,-38.109,-43.226,-3.56,-4.03,-3.55,-4.03,INF,-1,0,7,0
