"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.01674
CalibrationParameters_A12,0.06051
CalibrationParameters_A13,0.04046
CalibrationParameters_A21,0.01687
CalibrationParameters_A22,-1.03787
CalibrationParameters_A23,-0.07394
CalibrationParameters_A31,0.00045
CalibrationParameters_A32,0.00069
CalibrationParameters_E11,-0.17991
CalibrationParameters_E12,-0.00003
CalibrationParameters_E21,0.00010
CalibrationParameters_E22,0.19982
CalibrationParameters_X,-12.53497
CalibrationParameters_Y,-13.16674
CalibrationParameters_Rpc,89.17355
CalibrationParameters_MeanX,192.93327
CalibrationParameters_MeanY,122.53583
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,1,1,-123.924,-87.890,-11.43,-8.00,-11.32,-8.16,INF,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,1,1,-90.100,-64.617,-8.36,-5.95,-8.32,-6.02,INF,-1,0,7,0
120,1,1,-82.189,-33.197,-7.64,-3.07,-7.63,-3.10,INF,-1,0,7,0
140,1,1,-82.696,-31.681,-7.68,-2.93,-7.67,-2.96,INF,-1,0,7,0
160,1,1,-80.867,-33.035,-7.52,-3.06,-7.50,-3.08,INF,-1,0,7,0
180,1,1,-81.133,-31.241,-7.54,-2.89,-7.53,-2.92,INF,-1,0,7,0
200,1,1,-81.244,-35.454,-7.55,-3.28,-7.54,-3.31,INF,-1,0,7,0
220,1,1,-68.413,-36.601,-6.37,-3.40,-6.36,-3.42,INF,-1,0,7,0
240,1,1,-64.882,-42.145,-6.04,-3.91,-6.03,-3.93,INF,-1,0,7,0
260,1,1,-66.363,-42.565,-6.18,-3.95,-6.16,-3.97,INF,-1,0,7,0
280,1,1,-64.519,-43.882,-6.01,-4.07,-5.99,-4.09,INF,-1,0,7,0
300,1,1,-57.509,-45.865,-5.36,-4.26,-5.34,-4.28,INF,-1,0,7,0
320,1,1,-56.051,-48.525,-5.22,-4.51,-5.21,-4.53,INF,-1,0,7,0
340,1,1,-57.566,-51.003,-5.36,-4.74,-5.35,-4.76,INF,-1,0,7,0
360,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
380,1,1,-51.370,-43.362,-4.79,-4.03,-4.78,-4.05,INF,-1,0,7,0
400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
420,1,1,-50.936,-36.916,-4.75,-3.43,-4.74,-3.45,INF,-1,0,7,0
440,1,1,-45.133,-22.440,-4.21,-2.09,-4.21,-2.10,INF,-1,0,7,0
460,1,1,-42.225,-21.340,-3.94,-1.99,-3.94,-1.99,INF,-1,0,7,0
480,1,1,-41.053,-20.914,-3.83,-1.95,-3.83,-1.95,INF,-1,0,7,0
500,1,1,-39.367,-20.270,-3.67,-1.89,-3.67,-1.89,INF,-1,0,7,0
520,1,1,-34.342,-13.423,-3.21,-1.25,-3.21,-1.25,INF,-1,0,7,0
540,1,1,-32.782,-12.969,-3.06,-1.21,-3.06,-1.21,INF,-1,0,7,0
560,1,1,-32.483,-13.232,-3.03,-1.23,-3.03,-1.24,INF,-1,0,7,0
580,1,1,-29.407,-13.981,-2.75,-1.31,-2.75,-1.31,INF,-1,0,7,0
600,1,1,-26.313,-4.480,-2.46,-0.42,-2.46,-0.42,INF,-1,0,7,0
620,1,1,-36.658,-13.115,-3.42,-1.22,-3.42,-1.23,INF,-1,0,7,0
640,1,1,-21.253,-10.309,-1.99,-0.96,-1.99,-0.96,INF,-1,0,7,0
660,1,1,-22.701,-12.548,-2.12,-1.17,-2.12,-1.17,INF,-1,0,7,0
680,1,1,-21.949,-9.798,-2.05,-0.92,-2.05,-0.92,INF,-1,0,7,0
700,1,1,-24.385,-11.664,-2.28,-1.09,-2.28,-1.09,INF,-1,0,7,0
720,1,1,-21.210,-7.372,-1.98,-0.69,-1.98,-0.69,INF,-1,1,7,0
740,1,1,-21.431,-9.943,-2.00,-0.93,-2.00,-0.93,INF,-1,1,7,0
760,1,1,-18.247,-5.163,-1.71,-0.48,-1.70,-0.48,INF,-1,0,7,0
780,1,1,-19.616,-9.303,-1.83,-0.87,-1.83,-0.87,INF,-1,0,7,0
800,1,1,-16.782,-12.079,-1.57,-1.13,-1.57,-1.13,INF,-1,0,7,0
820,1,1,-28.778,-8.161,-2.69,-0.76,-2.69,-0.76,INF,-1,0,7,0
840,1,1,-25.179,-6.777,-2.35,-0.63,-2.35,-0.63,INF,-1,0,7,0
860,1,1,-22.964,-17.456,-2.15,-1.63,-2.14,-1.63,INF,-1,0,7,0
880,1,1,-31.715,-17.351,-2.96,-1.62,-2.96,-1.62,INF,-1,0,7,0
900,1,1,-15.327,-9.305,-1.43,-0.87,-1.43,-0.87,INF,-1,0,7,0
920,1,1,-17.053,-12.076,-1.59,-1.13,-1.59,-1.13,INF,-1,0,7,0
940,1,1,-14.618,-8.580,-1.37,-0.80,-1.37,-0.80,INF,-1,0,7,0
960,1,1,-16.503,-11.903,-1.54,-1.11,-1.54,-1.11,INF,-1,0,7,0
980,1,1,-19.723,-14.508,-1.84,-1.36,-1.84,-1.36,INF,-1,0,7,0
1000,1,1,-19.296,-4.622,-1.80,-0.43,-1.80,-0.43,INF,-1,1,7,0
1020,1,1,-14.079,-7.654,-1.32,-0.72,-1.32,-0.72,INF,-1,1,7,0
1040,1,1,-14.751,-10.345,-1.38,-0.97,-1.38,-0.97,INF,-1,1,7,0
1060,1,1,-24.983,-10.735,-2.33,-1.00,-2.33,-1.00,INF,-1,1,7,0
1080,1,1,-20.690,-10.581,-1.93,-0.99,-1.93,-0.99,INF,-1,1,7,0
1100,1,1,-18.867,-12.430,-1.76,-1.16,-1.76,-1.16,INF,-1,1,7,0
1120,1,1,-19.481,-8.571,-1.82,-0.80,-1.82,-0.80,INF,-1,1,7,0
1140,1,1,-19.718,-10.610,-1.84,-0.99,-1.84,-0.99,INF,-1,1,7,0
1160,1,1,-20.075,-11.319,-1.88,-1.06,-1.88,-1.06,INF,-1,1,7,0
1180,1,1,-18.032,-5.865,-1.68,-0.55,-1.68,-0.55,INF,-1,1,7,0
1200,1,1,-18.717,-3.596,-1.75,-0.34,-1.75,-0.34,INF,-1,1,7,0
1220,1,1,-17.288,-9.231,-1.62,-0.86,-1.62,-0.86,INF,-1,1,7,0
1240,1,1,-14.915,-8.070,-1.39,-0.75,-1.39,-0.75,INF,-1,1,7,0
1260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1280,1,1,-15.053,-15.517,-1.41,-1.45,-1.41,-1.45,INF,-1,1,7,0
