"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,0.97354
CalibrationParameters_A12,-0.08172
CalibrationParameters_A13,-0.14600
CalibrationParameters_A21,0.13743
CalibrationParameters_A22,-1.24546
CalibrationParameters_A23,0.08071
CalibrationParameters_A31,-0.00190
CalibrationParameters_A32,-0.00058
CalibrationParameters_E11,-0.18009
CalibrationParameters_E12,0.00007
CalibrationParameters_E21,0.00001
CalibrationParameters_E22,0.20017
CalibrationParameters_X,19.57209
CalibrationParameters_Y,14.42752
CalibrationParameters_Rpc,102.71769
CalibrationParameters_MeanX,194.14831
CalibrationParameters_MeanY,132.91594
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,1,1,-4.749,-14.360,-0.44,-1.34,-0.44,-1.34,INF,-1,0,7,0
160,1,1,-4.381,-16.290,-0.41,-1.52,-0.41,-1.52,INF,-1,0,7,0
180,1,1,-4.314,-22.063,-0.40,-2.06,-0.40,-2.06,INF,-1,0,7,0
200,1,1,-4.070,-23.251,-0.38,-2.17,-0.38,-2.17,INF,-1,0,7,0
220,1,1,-3.180,-21.490,-0.30,-2.01,-0.30,-2.01,INF,-1,0,7,0
240,1,1,-4.525,-19.245,-0.42,-1.80,-0.42,-1.80,INF,-1,0,7,0
260,1,1,-2.003,-19.071,-0.19,-1.78,-0.19,-1.78,INF,-1,0,7,0
280,1,1,-3.682,-21.960,-0.34,-2.05,-0.34,-2.05,INF,-1,0,7,0
300,1,1,-10.592,2.703,-0.99,0.25,-0.99,0.25,INF,-1,0,7,0
320,1,1,-10.069,-0.506,-0.94,-0.05,-0.94,-0.05,INF,-1,0,7,0
340,1,1,-5.151,1.065,-0.48,0.10,-0.48,0.10,INF,-1,0,7,0
360,1,1,-5.897,0.642,-0.55,0.06,-0.55,0.06,INF,-1,0,7,0
380,1,1,-2.749,1.851,-0.26,0.17,-0.26,0.17,INF,-1,0,7,0
400,1,1,-2.026,7.192,-0.19,0.67,-0.19,0.67,INF,-1,0,7,0
420,1,1,-3.472,6.411,-0.32,0.60,-0.32,0.60,INF,-1,0,7,0
440,1,1,-1.306,6.280,-0.12,0.59,-0.12,0.59,INF,-1,0,7,0
460,1,1,-0.953,6.375,-0.09,0.60,-0.09,0.60,INF,-1,0,7,0
480,1,1,2.069,6.965,0.19,0.65,0.19,0.65,INF,-1,0,7,0
500,1,1,1.686,4.183,0.16,0.39,0.16,0.39,INF,-1,0,7,0
520,1,1,3.462,5.463,0.32,0.51,0.32,0.51,INF,-1,0,7,0
540,1,1,4.244,5.828,0.40,0.54,0.40,0.54,INF,-1,0,7,0
560,1,1,2.920,7.647,0.27,0.71,0.27,0.71,INF,-1,0,7,0
580,1,1,2.155,3.185,0.20,0.30,0.20,0.30,INF,-1,1,7,0
600,1,1,5.428,3.297,0.51,0.31,0.51,0.31,INF,-1,1,7,0
620,1,1,3.867,-0.967,0.36,-0.09,0.36,-0.09,INF,-1,1,7,0
640,1,1,6.483,5.517,0.61,0.52,0.61,0.52,INF,-1,1,7,0
660,1,1,9.573,5.719,0.89,0.53,0.89,0.53,INF,-1,1,7,0
680,1,1,7.198,4.538,0.67,0.42,0.67,0.42,INF,-1,1,7,0
700,1,1,6.306,1.005,0.59,0.09,0.59,0.09,INF,-1,1,7,0
720,1,1,7.544,6.840,0.71,0.64,0.71,0.64,INF,-1,1,7,0
740,1,1,8.182,5.258,0.76,0.49,0.76,0.49,INF,-1,1,7,0
760,1,1,8.177,8.230,0.76,0.77,0.76,0.77,INF,-1,1,7,0
780,1,1,8.562,3.880,0.80,0.36,0.80,0.36,INF,-1,1,7,0
800,1,1,9.934,6.146,0.93,0.57,0.93,0.57,INF,-1,0,7,0
820,1,1,5.366,6.941,0.50,0.65,0.50,0.65,INF,-1,0,7,0
840,1,1,4.812,26.175,0.45,2.44,0.45,2.45,INF,-1,0,7,0
860,1,1,5.270,23.345,0.49,2.18,0.49,2.18,INF,-1,0,7,0
880,1,1,5.282,21.502,0.49,2.01,0.49,2.01,INF,-1,0,7,0
900,1,1,6.073,23.637,0.57,2.21,0.57,2.21,INF,-1,0,7,0
920,1,1,6.388,23.758,0.60,2.22,0.60,2.22,INF,-1,0,7,0
940,1,1,6.255,22.642,0.58,2.12,0.58,2.12,INF,-1,0,7,0
960,1,1,7.449,24.307,0.70,2.27,0.70,2.27,INF,-1,0,7,0
980,1,1,7.565,26.059,0.71,2.43,0.71,2.43,INF,-1,0,7,0
1000,1,1,6.611,24.523,0.62,2.29,0.62,2.29,INF,-1,0,7,0
1020,1,1,7.386,22.535,0.69,2.11,0.69,2.11,INF,-1,0,7,0
1040,1,1,9.012,20.528,0.84,1.92,0.84,1.92,INF,-1,0,7,0
1060,1,1,8.694,23.010,0.81,2.15,0.81,2.15,INF,-1,0,7,0
1080,1,1,6.586,25.844,0.62,2.41,0.62,2.41,INF,-1,0,7,0
1100,1,1,7.386,23.380,0.69,2.18,0.69,2.18,INF,-1,0,7,0
1120,1,1,8.368,22.272,0.78,2.08,0.78,2.08,INF,-1,1,7,0
1140,1,1,8.146,24.134,0.76,2.25,0.76,2.25,INF,-1,1,7,0
1160,1,1,10.084,24.754,0.94,2.31,0.94,2.31,INF,-1,1,7,0
1180,1,1,53.553,21.965,4.99,2.04,4.99,2.05,INF,-1,1,7,0
1200,1,1,49.309,17.371,4.60,1.62,4.60,1.62,INF,-1,1,7,0
1220,1,1,46.605,19.142,4.35,1.78,4.35,1.79,INF,-1,0,7,0
1240,1,1,47.994,23.844,4.48,2.22,4.47,2.23,INF,-1,0,7,0
1260,1,1,48.922,24.536,4.56,2.28,4.56,2.29,INF,-1,0,7,0
1280,1,1,48.362,19.033,4.51,1.77,4.51,1.78,INF,-1,0,7,0
1300,1,1,47.618,24.060,4.44,2.24,4.44,2.25,INF,-1,0,7,0
1320,1,1,49.590,15.103,4.62,1.41,4.62,1.41,INF,-1,0,7,0
1340,1,1,48.034,20.123,4.48,1.87,4.48,1.88,INF,-1,0,7,0
1360,1,1,49.667,19.917,4.63,1.85,4.63,1.86,INF,-1,0,7,0
1380,1,1,47.161,12.296,4.40,1.15,4.40,1.15,INF,-1,0,7,0
1400,1,1,50.166,11.460,4.68,1.07,4.68,1.07,INF,-1,0,7,0
1420,1,1,48.200,20.402,4.50,1.90,4.49,1.91,INF,-1,0,7,0
