"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05024
CalibrationParameters_A12,-0.09691
CalibrationParameters_A13,-0.08826
CalibrationParameters_A21,0.17897
CalibrationParameters_A22,-1.27492
CalibrationParameters_A23,0.09649
CalibrationParameters_A31,-0.00085
CalibrationParameters_A32,-0.00117
CalibrationParameters_E11,-0.17984
CalibrationParameters_E12,0.00031
CalibrationParameters_E21,-0.00009
CalibrationParameters_E22,0.20006
CalibrationParameters_X,38.52666
CalibrationParameters_Y,15.43870
CalibrationParameters_Rpc,120.12167
CalibrationParameters_MeanX,175.52915
CalibrationParameters_MeanY,129.76556
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-11.535,-3.815,-1.08,-0.36,-1.08,-0.36,INF,-1,0,7,0
40,1,1,-11.823,-5.424,-1.10,-0.51,-1.10,-0.51,INF,-1,0,7,0
60,1,1,-10.947,-6.330,-1.02,-0.59,-1.02,-0.59,INF,-1,0,7,0
80,1,1,-11.645,-4.503,-1.09,-0.42,-1.09,-0.42,INF,-1,0,7,0
100,1,1,-11.435,-6.774,-1.07,-0.63,-1.07,-0.63,INF,-1,0,7,0
120,1,1,-10.947,-8.163,-1.02,-0.76,-1.02,-0.76,INF,-1,0,7,0
140,1,1,-11.702,-11.522,-1.09,-1.08,-1.09,-1.08,INF,-1,0,7,0
160,1,1,-10.227,-8.598,-0.96,-0.80,-0.96,-0.80,INF,-1,0,7,0
180,1,1,-10.387,-9.581,-0.97,-0.90,-0.97,-0.90,INF,-1,0,7,0
200,1,1,-13.034,-9.275,-1.22,-0.87,-1.22,-0.87,INF,-1,0,7,0
220,1,1,-17.651,-10.065,-1.65,-0.94,-1.65,-0.94,INF,-1,0,7,0
240,1,1,-15.938,-7.880,-1.49,-0.74,-1.49,-0.74,INF,-1,0,7,0
260,1,1,-15.252,-10.202,-1.43,-0.95,-1.43,-0.95,INF,-1,0,7,0
280,1,1,-14.771,-9.663,-1.38,-0.90,-1.38,-0.90,INF,-1,0,7,0
300,1,1,-14.400,-7.248,-1.35,-0.68,-1.35,-0.68,INF,-1,1,7,0
320,1,1,-13.012,-9.217,-1.22,-0.86,-1.22,-0.86,INF,-1,1,7,0
340,1,1,-12.391,-6.688,-1.16,-0.62,-1.16,-0.63,INF,-1,1,7,0
360,1,1,-11.299,-8.313,-1.06,-0.78,-1.06,-0.78,INF,-1,1,7,0
380,1,1,-10.593,-9.578,-0.99,-0.90,-0.99,-0.90,INF,-1,1,7,0
400,1,1,-8.627,-9.955,-0.81,-0.93,-0.81,-0.93,INF,-1,1,7,0
420,1,1,-6.685,-10.604,-0.62,-0.99,-0.62,-0.99,INF,-1,1,7,0
440,1,1,9.474,-18.634,0.89,-1.74,0.89,-1.74,INF,-1,1,7,0
460,1,1,13.384,-21.040,1.25,-1.97,1.25,-1.97,INF,-1,1,7,0
480,1,1,15.334,-25.473,1.43,-2.38,1.43,-2.38,INF,-1,0,7,0
500,1,1,15.234,-19.818,1.42,-1.85,1.42,-1.85,INF,-1,0,7,0
520,1,1,17.899,-18.505,1.67,-1.73,1.67,-1.73,INF,-1,0,7,0
540,1,1,19.382,-27.007,1.81,-2.52,1.81,-2.52,INF,-1,0,7,0
560,1,1,22.003,-20.183,2.06,-1.88,2.05,-1.89,INF,-1,0,7,0
580,1,1,18.513,-28.089,1.73,-2.62,1.73,-2.62,INF,-1,0,7,0
600,1,1,26.460,-16.877,2.47,-1.58,2.47,-1.58,INF,-1,0,7,0
620,1,1,22.166,-24.669,2.07,-2.30,2.07,-2.30,INF,-1,0,7,0
640,1,1,25.343,-21.568,2.37,-2.01,2.37,-2.02,INF,-1,0,7,0
660,1,1,26.174,-29.760,2.44,-2.78,2.44,-2.78,INF,-1,0,7,0
680,1,1,24.782,-15.225,2.32,-1.42,2.31,-1.42,INF,-1,0,7,0
700,1,1,28.416,-22.678,2.65,-2.12,2.65,-2.12,INF,-1,0,7,0
720,1,1,29.844,-29.773,2.79,-2.78,2.78,-2.78,INF,-1,0,7,0
740,1,1,28.714,-28.541,2.68,-2.66,2.68,-2.67,INF,-1,1,7,0
760,1,1,29.401,-29.162,2.75,-2.72,2.74,-2.72,INF,-1,1,7,0
780,1,1,31.033,-31.299,2.90,-2.92,2.89,-2.92,INF,-1,1,7,0
800,1,1,29.602,-21.695,2.76,-2.02,2.76,-2.03,INF,-1,1,7,0
820,1,1,31.938,-23.490,2.98,-2.19,2.98,-2.19,INF,-1,1,7,0
840,1,1,31.128,-25.740,2.91,-2.40,2.90,-2.40,INF,-1,1,7,0
860,1,1,32.679,-26.764,3.05,-2.50,3.05,-2.50,INF,-1,1,7,0
880,1,1,33.226,-28.858,3.10,-2.69,3.10,-2.70,INF,-1,1,7,0
900,1,1,33.562,-30.115,3.13,-2.81,3.13,-2.81,INF,-1,0,7,0
920,1,1,29.399,-30.245,2.75,-2.82,2.74,-2.82,INF,-1,0,7,0
940,1,1,35.680,-24.298,3.33,-2.27,3.33,-2.27,INF,-1,0,7,0
960,1,1,34.720,-24.177,3.24,-2.26,3.24,-2.26,INF,-1,0,7,0
980,1,1,32.557,-19.108,3.04,-1.78,3.04,-1.79,INF,-1,0,7,0
1000,1,1,32.841,-16.156,3.07,-1.51,3.07,-1.51,INF,-1,0,7,0
1020,1,1,33.117,-18.159,3.09,-1.69,3.09,-1.70,INF,-1,0,7,0
1040,1,1,18.768,-17.681,1.75,-1.65,1.75,-1.65,INF,-1,0,7,0
1060,1,1,7.584,-17.531,0.71,-1.64,0.71,-1.64,INF,-1,0,7,0
1080,1,1,11.178,-1.296,1.04,-0.12,1.04,-0.12,INF,-1,0,7,0
1100,1,1,8.673,-1.767,0.81,-0.17,0.81,-0.17,INF,-1,0,7,0
1120,1,1,13.274,-4.225,1.24,-0.39,1.24,-0.39,INF,-1,0,7,0
1140,1,1,13.349,0.667,1.25,0.06,1.25,0.06,INF,-1,0,7,0
1160,1,1,13.037,-2.626,1.22,-0.25,1.22,-0.25,INF,-1,0,7,0
1180,1,1,12.656,-2.421,1.18,-0.23,1.18,-0.23,INF,-1,0,7,0
1200,1,1,15.675,-2.880,1.46,-0.27,1.46,-0.27,INF,-1,0,7,0
1220,1,1,14.456,-2.739,1.35,-0.26,1.35,-0.26,INF,-1,0,7,0
1240,1,1,14.598,0.270,1.36,0.03,1.36,0.03,INF,-1,0,7,0
1260,1,1,16.186,0.914,1.51,0.09,1.51,0.09,INF,-1,1,7,0
1280,1,1,1.188,9.406,0.11,0.88,0.11,0.88,INF,-1,1,7,0
1300,1,1,2.822,12.750,0.26,1.19,0.26,1.19,INF,-1,1,7,0
1320,1,1,4.099,11.506,0.38,1.08,0.38,1.08,INF,-1,0,7,0
1340,1,1,3.069,9.008,0.29,0.84,0.29,0.84,INF,-1,0,7,0
1360,1,1,5.212,13.477,0.49,1.26,0.49,1.26,INF,-1,0,7,0
1380,1,1,6.316,10.803,0.59,1.01,0.59,1.01,INF,-1,0,7,0
1400,1,1,6.192,10.505,0.58,0.98,0.58,0.98,INF,-1,0,7,0
1420,1,1,-17.038,13.944,-1.59,1.30,-1.59,1.30,INF,-1,0,7,0
1440,1,1,-21.404,16.108,-2.00,1.50,-2.00,1.51,INF,-1,0,7,0
1460,1,1,-19.418,15.363,-1.81,1.43,-1.81,1.44,INF,-1,0,7,0
1480,1,1,-20.147,16.379,-1.88,1.53,-1.88,1.53,INF,-1,0,7,0
1500,1,1,-18.807,16.759,-1.76,1.57,-1.76,1.57,INF,-1,0,7,0
1520,1,1,-17.152,15.112,-1.60,1.41,-1.60,1.41,INF,-1,0,7,0
1540,1,1,-17.732,13.636,-1.66,1.27,-1.66,1.27,INF,-1,0,7,0
1560,1,1,-17.745,14.456,-1.66,1.35,-1.66,1.35,INF,-1,0,7,0
1580,1,1,-16.055,10.181,-1.50,0.95,-1.50,0.95,INF,-1,0,7,0
1600,1,1,-16.411,10.136,-1.53,0.95,-1.53,0.95,INF,-1,0,7,0
1620,1,1,-15.999,11.450,-1.50,1.07,-1.49,1.07,INF,-1,0,7,0
1640,1,1,-14.991,12.989,-1.40,1.21,-1.40,1.21,INF,-1,0,7,0
1660,1,1,-14.150,11.814,-1.32,1.10,-1.32,1.10,INF,-1,0,7,0
1680,1,1,-11.463,-0.792,-1.07,-0.07,-1.07,-0.07,INF,-1,0,7,0
1700,1,1,-9.215,-6.281,-0.86,-0.59,-0.86,-0.59,INF,-1,1,7,0
1720,1,1,-7.865,-6.810,-0.74,-0.64,-0.74,-0.64,INF,-1,0,7,0
1740,1,1,-6.846,-3.108,-0.64,-0.29,-0.64,-0.29,INF,-1,0,7,0
1760,1,1,-4.773,-7.259,-0.45,-0.68,-0.45,-0.68,INF,-1,0,7,0
1780,1,1,-5.773,-5.490,-0.54,-0.51,-0.54,-0.51,INF,-1,0,7,0
1800,1,1,-5.171,-6.661,-0.48,-0.62,-0.48,-0.62,INF,-1,0,7,0
1820,1,1,-5.095,-9.612,-0.48,-0.90,-0.48,-0.90,INF,-1,0,7,0
1840,1,1,-3.738,-10.436,-0.35,-0.98,-0.35,-0.98,INF,-1,0,7,0
1860,1,1,-4.345,-8.887,-0.41,-0.83,-0.41,-0.83,INF,-1,0,7,0
1880,1,1,-3.597,-9.510,-0.34,-0.89,-0.34,-0.89,INF,-1,0,7,0
1900,1,1,-3.707,-10.285,-0.35,-0.96,-0.35,-0.96,INF,-1,0,7,0
1920,1,1,-4.698,-10.727,-0.44,-1.00,-0.44,-1.00,INF,-1,0,7,0
1940,1,1,-3.545,-10.355,-0.33,-0.97,-0.33,-0.97,INF,-1,0,7,0
1960,1,1,-2.194,-11.921,-0.21,-1.11,-0.21,-1.11,INF,-1,1,7,0
