"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.03033
CalibrationParameters_A12,0.05798
CalibrationParameters_A13,0.08616
CalibrationParameters_A21,0.00326
CalibrationParameters_A22,-1.03467
CalibrationParameters_A23,-0.00059
CalibrationParameters_A31,0.00115
CalibrationParameters_A32,-0.00001
CalibrationParameters_E11,-0.17981
CalibrationParameters_E12,0.00020
CalibrationParameters_E21,0.00017
CalibrationParameters_E22,0.20018
CalibrationParameters_X,-5.20816
CalibrationParameters_Y,-15.16381
CalibrationParameters_Rpc,89.80725
CalibrationParameters_MeanX,165.64118
CalibrationParameters_MeanY,106.56251
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,0.446,24.357,0.04,2.28,0.04,2.28,INF,-1,0,7,0
20,1,1,0.771,18.681,0.07,1.75,0.07,1.75,INF,-1,0,7,0
40,1,1,-0.013,22.372,0.00,2.09,0.00,2.09,INF,-1,0,7,0
60,1,1,8.177,27.161,0.76,2.54,0.76,2.54,INF,-1,0,7,0
80,1,1,9.821,30.099,0.92,2.81,0.92,2.81,INF,-1,0,7,0
100,1,1,8.296,30.196,0.78,2.82,0.77,2.82,INF,-1,0,7,0
120,1,1,7.508,30.078,0.70,2.81,0.70,2.81,INF,-1,0,7,0
140,1,1,6.775,27.245,0.63,2.54,0.63,2.54,INF,-1,0,7,0
160,1,1,5.798,27.651,0.54,2.58,0.54,2.58,INF,-1,0,7,0
180,1,1,4.516,29.415,0.42,2.75,0.42,2.75,INF,-1,0,7,0
200,1,1,4.316,27.344,0.40,2.55,0.40,2.55,INF,-1,0,7,0
220,1,1,3.335,30.689,0.31,2.87,0.31,2.87,INF,-1,0,7,0
240,1,1,-5.377,-1.745,-0.50,-0.16,-0.50,-0.16,INF,-1,0,7,0
260,1,1,-3.239,-2.777,-0.30,-0.26,-0.30,-0.26,INF,-1,0,7,0
280,1,1,-3.965,-1.473,-0.37,-0.14,-0.37,-0.14,INF,-1,0,7,0
300,1,1,-4.181,-2.872,-0.39,-0.27,-0.39,-0.27,INF,-1,0,7,0
320,1,1,-2.873,-4.929,-0.27,-0.46,-0.27,-0.46,INF,-1,0,7,0
340,1,1,-4.808,-3.342,-0.45,-0.31,-0.45,-0.31,INF,-1,0,7,0
360,1,1,-6.056,-3.007,-0.57,-0.28,-0.57,-0.28,INF,-1,0,7,0
380,1,1,-6.204,-2.692,-0.58,-0.25,-0.58,-0.25,INF,-1,0,7,0
400,1,1,-7.191,-3.675,-0.67,-0.34,-0.67,-0.34,INF,-1,0,7,0
