"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.20122
CalibrationParameters_A12,0.08772
CalibrationParameters_A13,0.00975
CalibrationParameters_A21,0.06601
CalibrationParameters_A22,-1.23480
CalibrationParameters_A23,0.04306
CalibrationParameters_A31,0.00004
CalibrationParameters_A32,0.00317
CalibrationParameters_E11,-0.17981
CalibrationParameters_E12,-0.00018
CalibrationParameters_E21,0.00013
CalibrationParameters_E22,0.19979
CalibrationParameters_X,-9.35268
CalibrationParameters_Y,48.17180
CalibrationParameters_Rpc,75.30511
CalibrationParameters_MeanX,182.65293
CalibrationParameters_MeanY,139.23881
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-24.653,2.054,-2.30,0.19,-2.30,0.19,INF,-1,0,7,0
20,1,1,-22.960,2.619,-2.15,0.24,-2.15,0.24,INF,-1,0,7,0
40,1,1,-23.190,1.987,-2.17,0.19,-2.17,0.19,INF,-1,0,7,0
60,1,1,-23.625,1.324,-2.21,0.12,-2.21,0.12,INF,-1,0,7,0
80,1,1,-22.518,1.742,-2.10,0.16,-2.10,0.16,INF,-1,0,7,0
100,1,1,-23.205,1.475,-2.17,0.14,-2.17,0.14,INF,-1,0,7,0
120,1,1,-23.304,0.931,-2.18,0.09,-2.18,0.09,INF,-1,0,7,0
140,1,1,-23.405,1.836,-2.19,0.17,-2.19,0.17,INF,-1,0,7,0
160,1,1,-23.466,0.440,-2.19,0.04,-2.19,0.04,INF,-1,0,7,0
180,1,1,-22.574,0.538,-2.11,0.05,-2.11,0.05,INF,-1,0,7,0
200,1,1,-23.109,-0.252,-2.16,-0.02,-2.16,-0.02,INF,-1,0,7,0
220,1,1,-23.287,-0.493,-2.18,-0.05,-2.18,-0.05,INF,-1,0,7,0
240,1,1,-22.880,0.441,-2.14,0.04,-2.14,0.04,INF,-1,0,7,0
