"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.14898
CalibrationParameters_A12,0.08121
CalibrationParameters_A13,0.01610
CalibrationParameters_A21,0.05374
CalibrationParameters_A22,-1.23533
CalibrationParameters_A23,0.00421
CalibrationParameters_A31,0.00016
CalibrationParameters_A32,0.00226
CalibrationParameters_E11,-0.17990
CalibrationParameters_E12,-0.00015
CalibrationParameters_E21,-0.00020
CalibrationParameters_E22,0.19987
CalibrationParameters_X,-6.97393
CalibrationParameters_Y,45.73406
CalibrationParameters_Rpc,71.47478
CalibrationParameters_MeanX,177.43753
CalibrationParameters_MeanY,126.68169
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-25.587,-14.725,-2.39,-1.37,-2.39,-1.38,INF,-1,0,7,0
20,1,1,-25.406,-14.829,-2.37,-1.38,-2.37,-1.39,INF,-1,0,7,0
40,1,1,-24.654,-14.451,-2.30,-1.35,-2.30,-1.35,INF,-1,0,7,0
60,1,1,-24.004,-14.772,-2.24,-1.38,-2.24,-1.38,INF,-1,0,7,0
80,1,1,-24.960,-15.399,-2.33,-1.44,-2.33,-1.44,INF,-1,0,7,0
100,1,1,-24.734,-16.064,-2.31,-1.50,-2.31,-1.50,INF,-1,0,7,0
120,1,1,-24.999,-14.716,-2.34,-1.37,-2.33,-1.38,INF,-1,0,7,0
140,1,1,-23.977,-14.453,-2.24,-1.35,-2.24,-1.35,INF,-1,0,7,0
160,1,1,-26.369,-16.730,-2.46,-1.56,-2.46,-1.56,INF,-1,0,7,0
180,1,1,-24.123,-15.017,-2.25,-1.40,-2.25,-1.40,INF,-1,0,7,0
200,1,1,-11.293,-9.274,-1.06,-0.87,-1.06,-0.87,INF,-1,0,7,0
220,1,1,6.833,12.445,0.64,1.16,0.64,1.16,INF,-1,0,7,0
240,1,1,6.474,12.732,0.61,1.19,0.60,1.19,INF,-1,0,7,0
260,1,1,8.503,13.335,0.79,1.25,0.79,1.25,INF,-1,0,7,0
280,1,1,8.742,15.735,0.82,1.47,0.82,1.47,INF,-1,0,7,0
300,1,1,8.787,15.372,0.82,1.44,0.82,1.44,INF,-1,0,7,0
320,1,1,8.582,14.483,0.80,1.35,0.80,1.35,INF,-1,0,7,0
340,1,1,9.023,15.081,0.84,1.41,0.84,1.41,INF,-1,0,7,0
360,1,1,8.245,14.249,0.77,1.33,0.77,1.33,INF,-1,0,7,0
380,1,1,9.814,14.518,0.92,1.36,0.92,1.36,INF,-1,0,7,0
400,1,1,8.518,16.460,0.80,1.54,0.80,1.54,INF,-1,0,7,0
420,1,1,7.998,14.558,0.75,1.36,0.75,1.36,INF,-1,0,7,0
440,1,1,14.559,14.103,1.36,1.32,1.36,1.32,INF,-1,0,7,0
460,1,1,15.768,11.337,1.47,1.06,1.47,1.06,INF,-1,0,7,0
480,1,1,16.363,11.291,1.53,1.05,1.53,1.06,INF,-1,1,7,0
500,1,1,16.506,13.607,1.54,1.27,1.54,1.27,INF,-1,1,7,0
520,1,1,15.578,10.050,1.46,0.94,1.46,0.94,INF,-1,1,7,0
540,1,1,15.296,11.969,1.43,1.12,1.43,1.12,INF,-1,1,7,0
560,1,1,13.492,10.706,1.26,1.00,1.26,1.00,INF,-1,1,7,0
580,1,1,16.711,13.710,1.56,1.28,1.56,1.28,INF,-1,1,7,0
600,1,1,15.456,12.177,1.44,1.14,1.44,1.14,INF,-1,1,7,0
620,1,1,12.181,0.584,1.14,0.05,1.14,0.05,INF,-1,1,7,0
640,1,1,11.555,2.111,1.08,0.20,1.08,0.20,INF,-1,1,7,0
660,1,1,12.947,1.427,1.21,0.13,1.21,0.13,INF,-1,0,7,0
680,1,1,12.584,1.646,1.18,0.15,1.18,0.15,INF,-1,0,7,0
700,1,1,12.759,2.242,1.19,0.21,1.19,0.21,INF,-1,0,7,0
720,1,1,12.963,0.805,1.21,0.08,1.21,0.08,INF,-1,0,7,0
740,1,1,12.663,1.973,1.18,0.18,1.18,0.18,INF,-1,0,7,0
760,1,1,13.319,1.755,1.24,0.16,1.24,0.16,INF,-1,0,7,0
780,1,1,13.909,0.970,1.30,0.09,1.30,0.09,INF,-1,0,7,0
800,1,1,12.120,-0.200,1.13,-0.02,1.13,-0.02,INF,-1,0,7,0
820,1,1,13.476,1.367,1.26,0.13,1.26,0.13,INF,-1,0,7,0
840,1,1,11.961,0.632,1.12,0.06,1.12,0.06,INF,-1,0,7,0
860,1,1,18.288,11.888,1.71,1.11,1.71,1.11,INF,-1,0,7,0
880,1,1,14.131,19.167,1.32,1.79,1.32,1.79,INF,-1,0,7,0
900,1,1,16.466,19.230,1.54,1.80,1.54,1.80,INF,-1,1,7,0
920,1,1,14.670,18.976,1.37,1.77,1.37,1.77,INF,-1,0,7,0
940,1,1,14.858,18.460,1.39,1.72,1.39,1.72,INF,-1,0,7,0
960,1,1,15.690,18.536,1.47,1.73,1.47,1.73,INF,-1,0,7,0
980,1,1,15.951,21.934,1.49,2.05,1.49,2.05,INF,-1,0,7,0
1000,1,1,16.693,19.734,1.56,1.84,1.56,1.84,INF,-1,0,7,0
