"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.19655
CalibrationParameters_A12,0.08702
CalibrationParameters_A13,-0.00309
CalibrationParameters_A21,0.06461
CalibrationParameters_A22,-1.25182
CalibrationParameters_A23,-0.00017
CalibrationParameters_A31,-0.00013
CalibrationParameters_A32,0.00407
CalibrationParameters_E11,-0.17977
CalibrationParameters_E12,-0.00005
CalibrationParameters_E21,0.00000
CalibrationParameters_E22,0.20009
CalibrationParameters_X,-10.09480
CalibrationParameters_Y,49.57120
CalibrationParameters_Rpc,76.63915
CalibrationParameters_MeanX,189.61327
CalibrationParameters_MeanY,143.57734
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,3.751,-6.436,0.35,-0.60,0.35,-0.60,INF,-1,0,7,0
20,1,1,5.098,-5.966,0.48,-0.56,0.48,-0.56,INF,-1,0,7,0
40,1,1,4.950,-5.880,0.46,-0.55,0.46,-0.55,INF,-1,0,7,0
60,1,1,5.281,-7.820,0.49,-0.73,0.49,-0.73,INF,-1,0,7,0
80,1,1,4.683,-7.472,0.44,-0.70,0.44,-0.70,INF,-1,0,7,0
100,1,1,4.010,-7.198,0.37,-0.67,0.37,-0.67,INF,-1,0,7,0
120,1,1,4.730,-6.956,0.44,-0.65,0.44,-0.65,INF,-1,0,7,0
140,1,1,3.750,-8.591,0.35,-0.80,0.35,-0.80,INF,-1,0,7,0
160,1,1,-3.936,7.026,-0.37,0.66,-0.37,0.66,INF,-1,0,7,0
180,1,1,-7.113,11.804,-0.66,1.10,-0.66,1.10,INF,-1,0,7,0
200,1,1,-6.365,12.281,-0.59,1.15,-0.59,1.15,INF,-1,0,7,0
220,1,1,-6.157,11.636,-0.58,1.09,-0.58,1.09,INF,-1,0,7,0
240,1,1,-7.187,11.636,-0.67,1.09,-0.67,1.09,INF,-1,0,7,0
260,1,1,-6.743,12.397,-0.63,1.16,-0.63,1.16,INF,-1,0,7,0
280,1,1,-6.038,12.485,-0.56,1.17,-0.56,1.17,INF,-1,0,7,0
300,1,1,-6.045,12.133,-0.56,1.13,-0.56,1.13,INF,-1,0,7,0
320,1,1,-6.058,11.486,-0.57,1.07,-0.57,1.07,INF,-1,1,7,0
340,1,1,-5.881,11.348,-0.55,1.06,-0.55,1.06,INF,-1,1,7,0
360,1,1,-6.893,10.882,-0.64,1.02,-0.64,1.02,INF,-1,1,7,0
380,1,1,-6.613,9.972,-0.62,0.93,-0.62,0.93,INF,-1,1,7,0
400,1,1,-6.621,10.508,-0.62,0.98,-0.62,0.98,INF,-1,1,7,0
420,1,1,-6.599,10.256,-0.62,0.96,-0.62,0.96,INF,-1,1,7,0
440,1,1,-6.971,9.895,-0.65,0.92,-0.65,0.92,INF,-1,1,7,0
460,1,1,-5.430,9.578,-0.51,0.90,-0.51,0.90,INF,-1,1,7,0
480,1,1,-4.408,11.516,-0.41,1.08,-0.41,1.08,INF,-1,1,7,0
500,1,1,-5.312,9.846,-0.50,0.92,-0.50,0.92,INF,-1,1,7,0
520,1,1,-4.613,11.744,-0.43,1.10,-0.43,1.10,INF,-1,1,7,0
540,1,1,-5.493,10.011,-0.51,0.94,-0.51,0.94,INF,-1,1,7,0
560,1,1,-4.522,10.380,-0.42,0.97,-0.42,0.97,INF,-1,1,7,0
580,1,1,-4.920,9.447,-0.46,0.88,-0.46,0.88,INF,-1,1,7,0
600,1,1,-5.091,9.968,-0.48,0.93,-0.48,0.93,INF,-1,1,7,0
620,1,1,-5.922,9.577,-0.55,0.90,-0.55,0.90,INF,-1,1,7,0
640,1,1,-7.233,10.615,-0.68,0.99,-0.68,0.99,INF,-1,1,7,0
660,1,1,-4.734,9.896,-0.44,0.92,-0.44,0.92,INF,-1,1,7,0
680,1,1,-5.734,8.921,-0.54,0.83,-0.54,0.83,INF,-1,1,7,0
700,1,1,-7.224,9.421,-0.68,0.88,-0.68,0.88,INF,-1,1,7,0
720,1,1,-6.521,8.264,-0.61,0.77,-0.61,0.77,INF,-1,1,7,0
740,1,1,-6.190,9.665,-0.58,0.90,-0.58,0.90,INF,-1,1,7,0
760,1,1,-7.142,9.355,-0.67,0.87,-0.67,0.87,INF,-1,1,7,0
780,1,1,-8.072,8.756,-0.75,0.82,-0.75,0.82,INF,-1,1,7,0
800,1,1,-7.908,8.349,-0.74,0.78,-0.74,0.78,INF,-1,1,7,0
820,1,1,-8.630,8.620,-0.81,0.81,-0.81,0.81,INF,-1,1,7,0
840,1,1,-9.391,8.674,-0.88,0.81,-0.88,0.81,INF,-1,1,7,0
860,1,1,-8.416,9.992,-0.79,0.93,-0.79,0.93,INF,-1,1,7,0
880,1,1,-9.459,9.491,-0.88,0.89,-0.88,0.89,INF,-1,1,7,0
900,1,1,-55.056,-20.181,-5.13,-1.88,-5.13,-1.89,INF,-1,1,7,0
920,1,1,-53.304,-20.329,-4.97,-1.89,-4.97,-1.90,INF,-1,1,7,0
940,1,1,-54.233,-20.914,-5.06,-1.95,-5.05,-1.95,INF,-1,0,7,0
960,1,1,-53.314,-22.157,-4.97,-2.06,-4.97,-2.07,INF,-1,0,7,0
980,1,1,-52.839,-22.196,-4.93,-2.07,-4.92,-2.07,INF,-1,0,7,0
1000,1,1,-54.023,-20.884,-5.04,-1.94,-5.03,-1.95,INF,-1,0,7,0
1020,1,1,-54.291,-21.594,-5.06,-2.01,-5.06,-2.02,INF,-1,0,7,0
1040,1,1,-52.507,-21.526,-4.90,-2.00,-4.89,-2.01,INF,-1,0,7,0
1060,1,1,-54.187,-21.848,-5.05,-2.03,-5.05,-2.04,INF,-1,0,7,0
1080,1,1,-54.178,-22.557,-5.05,-2.10,-5.05,-2.11,INF,-1,0,7,0
1100,1,1,-54.214,-22.051,-5.05,-2.05,-5.05,-2.06,INF,-1,0,7,0
1120,1,1,-53.347,-21.913,-4.97,-2.04,-4.97,-2.05,INF,-1,0,7,0
1140,1,1,-55.337,-23.138,-5.16,-2.15,-5.15,-2.16,INF,-1,0,7,0
1160,1,1,-52.339,-22.460,-4.88,-2.09,-4.88,-2.10,INF,-1,0,7,0
1180,1,1,-52.032,-25.949,-4.85,-2.42,-4.85,-2.42,INF,-1,1,7,0
1200,1,1,-51.500,-31.342,-4.80,-2.92,-4.80,-2.93,INF,-1,1,7,0
1220,1,1,-49.851,-31.004,-4.65,-2.89,-4.64,-2.90,INF,-1,1,7,0
1240,1,1,-49.713,-31.502,-4.64,-2.93,-4.63,-2.94,INF,-1,1,7,0
1260,1,1,-50.171,-31.627,-4.68,-2.94,-4.67,-2.95,INF,-1,1,7,0
1280,1,1,-50.879,-30.229,-4.74,-2.81,-4.74,-2.82,INF,-1,1,7,0
1300,1,1,-49.670,-29.849,-4.63,-2.78,-4.63,-2.79,INF,-1,1,7,0
1320,1,1,-49.575,-30.079,-4.62,-2.80,-4.62,-2.81,INF,-1,1,7,0
1340,1,1,-49.650,-31.314,-4.63,-2.91,-4.62,-2.92,INF,-1,1,7,0
1360,1,1,-49.983,-31.704,-4.66,-2.95,-4.66,-2.96,INF,-1,1,7,0
1380,1,1,-48.778,-30.210,-4.55,-2.81,-4.54,-2.82,INF,-1,1,7,0
1400,1,1,-49.296,-30.905,-4.60,-2.88,-4.59,-2.89,INF,-1,1,7,0
1420,1,1,-49.289,-30.967,-4.60,-2.88,-4.59,-2.89,INF,-1,1,7,0
1440,1,1,-48.609,-30.454,-4.53,-2.84,-4.53,-2.84,INF,-1,1,7,0
1460,1,1,-47.687,-31.676,-4.45,-2.95,-4.44,-2.96,INF,-1,1,7,0
1480,1,1,-47.791,-31.470,-4.46,-2.93,-4.45,-2.94,INF,-1,1,7,0
1500,1,1,-48.364,-30.956,-4.51,-2.88,-4.51,-2.89,INF,-1,0,7,0
1520,1,1,-48.955,-29.450,-4.57,-2.74,-4.56,-2.75,INF,-1,0,7,0
1540,1,1,-48.658,-29.192,-4.54,-2.72,-4.53,-2.73,INF,-1,0,7,0
1560,1,1,-48.353,-28.951,-4.51,-2.70,-4.51,-2.70,INF,-1,0,7,0
1580,1,1,-48.352,-28.755,-4.51,-2.68,-4.51,-2.69,INF,-1,0,7,0
1600,1,1,-48.657,-29.013,-4.54,-2.70,-4.53,-2.71,INF,-1,0,7,0
1620,1,1,-63.061,1.059,-5.87,0.10,-5.87,0.10,INF,-1,0,7,0
1640,1,1,-65.460,3.340,-6.10,0.31,-6.10,0.31,INF,-1,0,7,0
1660,1,1,-63.091,5.179,-5.88,0.48,-5.88,0.48,INF,-1,0,7,0
1680,1,1,-65.410,4.538,-6.09,0.42,-6.09,0.42,INF,-1,0,7,0
1700,1,1,-61.760,5.824,-5.75,0.54,-5.75,0.54,INF,-1,0,7,0
1720,1,1,-61.198,5.877,-5.70,0.55,-5.70,0.55,INF,-1,0,7,0
1740,1,1,-61.885,4.462,-5.76,0.41,-5.76,0.42,INF,-1,0,7,0
1760,1,1,-61.222,4.749,-5.70,0.44,-5.70,0.44,INF,-1,0,7,0
1780,1,1,-60.480,5.746,-5.63,0.53,-5.63,0.54,INF,-1,0,7,0
1800,1,1,-60.691,5.571,-5.65,0.52,-5.65,0.52,INF,-1,0,7,0
1820,1,1,-60.845,4.800,-5.67,0.45,-5.67,0.45,INF,-1,0,7,0
1840,1,1,-62.315,4.890,-5.80,0.45,-5.80,0.46,INF,-1,0,7,0
1860,1,1,-61.596,5.264,-5.74,0.49,-5.74,0.49,INF,-1,0,7,0
1880,1,1,-66.552,-3.307,-6.20,-0.31,-6.20,-0.31,INF,-1,0,7,0
1900,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1920,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1940,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1960,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1980,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2000,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2020,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2040,1,1,28.645,2.357,2.68,0.22,2.68,0.22,INF,-1,0,7,0
2060,1,1,35.799,12.679,3.34,1.18,3.34,1.18,INF,-1,0,7,0
2080,1,1,34.482,10.970,3.22,1.02,3.22,1.03,INF,-1,0,7,0
2100,1,1,34.314,12.713,3.20,1.19,3.20,1.19,INF,-1,0,7,0
2120,1,1,34.510,11.978,3.22,1.12,3.22,1.12,INF,-1,0,7,0
2140,1,1,36.345,11.065,3.39,1.03,3.39,1.03,INF,-1,0,7,0
2160,1,1,36.599,10.660,3.42,0.99,3.42,1.00,INF,-1,0,7,0
2180,1,1,34.502,12.417,3.22,1.16,3.22,1.16,INF,-1,0,7,0
2200,1,1,3.169,13.744,0.30,1.28,0.30,1.28,INF,-1,0,7,0
2220,1,1,-2.126,15.887,-0.20,1.48,-0.20,1.48,INF,-1,0,7,0
2240,1,1,-2.914,15.532,-0.27,1.45,-0.27,1.45,INF,-1,0,7,0
2260,1,1,-2.493,15.646,-0.23,1.46,-0.23,1.46,INF,-1,0,7,0
2280,1,1,-3.054,15.185,-0.29,1.42,-0.29,1.42,INF,-1,0,7,0
2300,1,1,-3.132,14.307,-0.29,1.34,-0.29,1.34,INF,-1,0,7,0
2320,1,1,-3.204,15.700,-0.30,1.47,-0.30,1.47,INF,-1,0,7,0
2340,1,1,-1.552,14.548,-0.15,1.36,-0.14,1.36,INF,-1,0,7,0
2360,1,1,-2.513,15.228,-0.23,1.42,-0.23,1.42,INF,-1,0,7,0
2380,1,1,-1.821,13.810,-0.17,1.29,-0.17,1.29,INF,-1,0,7,0
2400,1,1,-1.761,14.461,-0.16,1.35,-0.16,1.35,INF,-1,0,7,0
2420,1,1,-1.884,13.253,-0.18,1.24,-0.18,1.24,INF,-1,0,7,0
2440,1,1,-1.965,14.087,-0.18,1.32,-0.18,1.32,INF,-1,0,7,0
2460,1,1,-2.814,14.314,-0.26,1.34,-0.26,1.34,INF,-1,0,7,0
2480,1,1,-3.066,16.299,-0.29,1.52,-0.29,1.52,INF,-1,1,7,0
2500,1,1,-2.425,15.038,-0.23,1.41,-0.23,1.41,INF,-1,1,7,0
2520,1,1,-4.488,15.752,-0.42,1.47,-0.42,1.47,INF,-1,1,7,0
2540,1,1,-3.318,14.410,-0.31,1.35,-0.31,1.35,INF,-1,1,7,0
2560,1,1,-64.435,33.892,-6.00,3.15,-5.99,3.16,INF,-1,1,7,0
2580,1,1,-59.759,36.988,-5.57,3.44,-5.56,3.45,INF,-1,1,7,0
2600,1,1,-61.355,36.048,-5.72,3.35,-5.71,3.37,INF,-1,0,7,0
2620,1,1,-62.030,37.052,-5.78,3.44,-5.77,3.46,INF,-1,0,7,0
