"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.19867
CalibrationParameters_A12,0.07037
CalibrationParameters_A13,-0.02166
CalibrationParameters_A21,0.06319
CalibrationParameters_A22,-1.23653
CalibrationParameters_A23,0.00294
CalibrationParameters_A31,-0.00034
CalibrationParameters_A32,0.00343
CalibrationParameters_E11,-0.18002
CalibrationParameters_E12,0.00003
CalibrationParameters_E21,0.00001
CalibrationParameters_E22,0.19988
CalibrationParameters_X,-9.05573
CalibrationParameters_Y,48.62933
CalibrationParameters_Rpc,76.75021
CalibrationParameters_MeanX,194.00448
CalibrationParameters_MeanY,140.11380
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,28.989,-3.865,2.71,-0.36,2.71,-0.36,INF,-1,0,7,0
20,1,1,29.425,-4.114,2.75,-0.38,2.75,-0.38,INF,-1,0,7,0
40,1,1,27.924,-3.994,2.61,-0.37,2.61,-0.37,INF,-1,0,7,0
60,1,1,28.328,-4.216,2.65,-0.39,2.65,-0.39,INF,-1,0,7,0
80,1,1,27.636,-4.282,2.58,-0.40,2.58,-0.40,INF,-1,0,7,0
100,1,1,27.522,-4.330,2.57,-0.40,2.57,-0.40,INF,-1,0,7,0
120,1,1,27.854,-4.013,2.60,-0.37,2.60,-0.38,INF,-1,0,7,0
140,1,1,26.562,-3.157,2.48,-0.29,2.48,-0.30,INF,-1,0,7,0
160,1,1,25.826,-4.975,2.41,-0.46,2.41,-0.47,INF,-1,0,7,0
180,1,1,28.801,-4.898,2.69,-0.46,2.69,-0.46,INF,-1,0,7,0
200,1,1,27.386,-2.663,2.56,-0.25,2.56,-0.25,INF,-1,0,7,0
220,1,1,-10.149,11.734,-0.95,1.10,-0.95,1.10,INF,-1,0,7,0
240,1,1,-6.814,11.659,-0.64,1.09,-0.64,1.09,INF,-1,0,7,0
260,1,1,-7.967,10.482,-0.74,0.98,-0.74,0.98,INF,-1,0,7,0
280,1,1,-6.456,10.451,-0.60,0.98,-0.60,0.98,INF,-1,0,7,0
300,1,1,-7.009,10.769,-0.66,1.01,-0.65,1.01,INF,-1,0,7,0
320,1,1,-6.900,11.977,-0.64,1.12,-0.64,1.12,INF,-1,0,7,0
340,1,1,-7.110,11.567,-0.66,1.08,-0.66,1.08,INF,-1,0,7,0
360,1,1,-8.137,10.659,-0.76,1.00,-0.76,1.00,INF,-1,0,7,0
380,1,1,-6.455,10.235,-0.60,0.96,-0.60,0.96,INF,-1,0,7,0
400,1,1,-7.495,11.016,-0.70,1.03,-0.70,1.03,INF,-1,0,7,0
420,1,1,-7.556,9.801,-0.71,0.92,-0.71,0.92,INF,-1,1,7,0
440,1,1,-6.419,11.113,-0.60,1.04,-0.60,1.04,INF,-1,1,7,0
460,1,1,-7.273,10.512,-0.68,0.98,-0.68,0.98,INF,-1,1,7,0
480,1,1,-6.832,10.783,-0.64,1.01,-0.64,1.01,INF,-1,1,7,0
500,1,1,0.096,17.094,0.01,1.60,0.01,1.60,INF,-1,1,7,0
520,1,1,-2.466,17.130,-0.23,1.60,-0.23,1.60,INF,-1,1,7,0
540,1,1,-1.914,17.027,-0.18,1.59,-0.18,1.59,INF,-1,0,7,0
560,1,1,-2.413,16.013,-0.23,1.50,-0.23,1.50,INF,-1,0,7,0
580,1,1,-2.320,16.089,-0.22,1.50,-0.22,1.50,INF,-1,0,7,0
600,1,1,-0.404,17.395,-0.04,1.63,-0.04,1.63,INF,-1,0,7,0
620,1,1,-3.462,18.109,-0.32,1.69,-0.32,1.69,INF,-1,0,7,0
640,1,1,-3.020,15.889,-0.28,1.48,-0.28,1.48,INF,-1,0,7,0
660,1,1,-2.550,16.572,-0.24,1.55,-0.24,1.55,INF,-1,0,7,0
680,1,1,-4.079,16.929,-0.38,1.58,-0.38,1.58,INF,-1,0,7,0
700,1,1,-3.685,16.856,-0.34,1.58,-0.34,1.58,INF,-1,0,7,0
720,1,1,-3.238,17.499,-0.30,1.64,-0.30,1.64,INF,-1,0,7,0
740,1,1,-2.706,16.136,-0.25,1.51,-0.25,1.51,INF,-1,0,7,0
760,1,1,-3.690,18.356,-0.34,1.72,-0.34,1.72,INF,-1,0,7,0
780,1,1,-1.039,39.477,-0.10,3.68,-0.10,3.68,INF,-1,1,7,0
800,1,1,-4.181,40.202,-0.39,3.75,-0.39,3.75,INF,-1,1,7,0
820,1,1,-3.878,40.733,-0.36,3.80,-0.36,3.80,INF,-1,0,7,0
840,1,1,-3.588,40.380,-0.34,3.77,-0.33,3.77,INF,-1,0,7,0
860,1,1,-3.921,40.841,-0.37,3.81,-0.37,3.81,INF,-1,0,7,0
880,1,1,-2.552,41.327,-0.24,3.86,-0.24,3.86,INF,-1,0,7,0
900,1,1,-3.440,39.995,-0.32,3.73,-0.32,3.73,INF,-1,0,7,0
920,1,1,-3.818,40.233,-0.36,3.76,-0.36,3.76,INF,-1,0,7,0
940,1,1,-4.843,40.173,-0.45,3.75,-0.45,3.75,INF,-1,0,7,0
960,1,1,-4.006,40.341,-0.37,3.77,-0.37,3.77,INF,-1,0,7,0
980,1,1,-3.433,41.943,-0.32,3.91,-0.32,3.91,INF,-1,0,7,0
1000,1,1,-5.931,41.450,-0.55,3.87,-0.55,3.87,INF,-1,0,7,0
1020,1,1,-3.738,41.190,-0.35,3.84,-0.35,3.84,INF,-1,0,7,0
1040,1,1,-4.501,41.019,-0.42,3.83,-0.42,3.83,INF,-1,0,7,0
1060,1,1,-5.271,41.959,-0.49,3.92,-0.49,3.92,INF,-1,1,7,0
1080,1,1,-3.362,40.869,-0.31,3.81,-0.31,3.81,INF,-1,1,7,0
1100,1,1,7.961,-4.327,0.74,-0.40,0.74,-0.40,INF,-1,1,7,0
1120,1,1,8.365,-6.018,0.78,-0.56,0.78,-0.56,INF,-1,1,7,0
1140,1,1,8.563,-6.153,0.80,-0.58,0.80,-0.58,INF,-1,0,7,0
1160,1,1,7.514,-7.139,0.70,-0.67,0.70,-0.67,INF,-1,0,7,0
1180,1,1,9.228,-7.098,0.86,-0.66,0.86,-0.66,INF,-1,0,7,0
1200,1,1,6.322,-7.130,0.59,-0.67,0.59,-0.67,INF,-1,0,7,0
1220,1,1,7.314,-8.131,0.68,-0.76,0.68,-0.76,INF,-1,0,7,0
1240,1,1,8.407,-6.628,0.79,-0.62,0.79,-0.62,INF,-1,0,7,0
1260,1,1,9.424,-7.452,0.88,-0.70,0.88,-0.70,INF,-1,0,7,0
1280,1,1,10.335,-6.678,0.97,-0.62,0.97,-0.62,INF,-1,0,7,0
1300,1,1,8.995,-6.167,0.84,-0.58,0.84,-0.58,INF,-1,0,7,0
1320,1,1,9.723,-5.960,0.91,-0.56,0.91,-0.56,INF,-1,0,7,0
1340,1,1,8.698,-3.993,0.81,-0.37,0.81,-0.37,INF,-1,0,7,0
1360,1,1,10.257,-5.410,0.96,-0.51,0.96,-0.51,INF,-1,0,7,0
1380,1,1,10.691,-5.526,1.00,-0.52,1.00,-0.52,INF,-1,1,7,0
1400,1,1,9.129,-4.949,0.85,-0.46,0.85,-0.46,INF,-1,1,7,0
1420,1,1,10.334,-3.935,0.97,-0.37,0.97,-0.37,INF,-1,1,7,0
1440,1,1,9.991,-5.550,0.93,-0.52,0.93,-0.52,INF,-1,1,7,0
1460,1,1,10.890,-5.621,1.02,-0.53,1.02,-0.53,INF,-1,1,7,0
1480,1,1,11.454,-7.307,1.07,-0.68,1.07,-0.68,INF,-1,1,7,0
1500,1,1,11.663,-6.946,1.09,-0.65,1.09,-0.65,INF,-1,1,7,0
1520,1,1,-16.434,11.124,-1.54,1.04,-1.54,1.04,INF,-1,1,7,0
1540,1,1,-20.486,16.019,-1.91,1.50,-1.91,1.50,INF,-1,1,7,0
1560,1,1,-22.211,18.328,-2.08,1.71,-2.07,1.71,INF,-1,0,7,0
1580,1,1,-21.590,16.841,-2.02,1.57,-2.02,1.57,INF,-1,0,7,0
1600,1,1,-21.821,17.387,-2.04,1.62,-2.04,1.62,INF,-1,0,7,0
