"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.16223
CalibrationParameters_A12,0.08219
CalibrationParameters_A13,-0.03075
CalibrationParameters_A21,0.06056
CalibrationParameters_A22,-1.20400
CalibrationParameters_A23,-0.05425
CalibrationParameters_A31,-0.00042
CalibrationParameters_A32,0.00294
CalibrationParameters_E11,-0.17991
CalibrationParameters_E12,0.00033
CalibrationParameters_E21,-0.00007
CalibrationParameters_E22,0.20011
CalibrationParameters_X,-12.16987
CalibrationParameters_Y,46.54600
CalibrationParameters_Rpc,70.50736
CalibrationParameters_MeanX,192.58500
CalibrationParameters_MeanY,151.54886
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,2.656,0.459,0.25,0.04,0.25,0.04,INF,-1,0,7,0
20,1,1,2.927,1.641,0.27,0.15,0.27,0.15,INF,-1,0,7,0
40,1,1,5.894,2.241,0.55,0.21,0.55,0.21,INF,-1,0,7,0
60,1,1,6.256,2.605,0.58,0.24,0.58,0.24,INF,-1,0,7,0
80,1,1,5.155,0.888,0.48,0.08,0.48,0.08,INF,-1,0,7,0
100,1,1,6.194,2.601,0.58,0.24,0.58,0.24,INF,-1,0,7,0
120,1,1,2.167,-1.406,0.20,-0.13,0.20,-0.13,INF,-1,0,7,0
140,1,1,4.431,1.101,0.41,0.10,0.41,0.10,INF,-1,0,7,0
160,1,1,4.297,0.233,0.40,0.02,0.40,0.02,INF,-1,0,7,0
180,1,1,3.924,0.341,0.37,0.03,0.37,0.03,INF,-1,0,7,0
200,1,1,2.612,10.043,0.24,0.94,0.24,0.94,INF,-1,0,7,0
220,1,1,-2.428,15.048,-0.23,1.41,-0.23,1.41,INF,-1,0,7,0
240,1,1,-4.313,15.526,-0.40,1.45,-0.40,1.45,INF,-1,0,7,0
260,1,1,-2.097,15.979,-0.20,1.49,-0.20,1.49,INF,-1,0,7,0
280,1,1,-3.575,17.396,-0.33,1.63,-0.33,1.63,INF,-1,0,7,0
300,1,1,-4.077,15.853,-0.38,1.48,-0.38,1.48,INF,-1,0,7,0
320,1,1,-6.796,16.090,-0.64,1.50,-0.63,1.50,INF,-1,1,7,0
340,1,1,-3.867,16.407,-0.36,1.53,-0.36,1.53,INF,-1,1,7,0
360,1,1,-3.308,17.186,-0.31,1.61,-0.31,1.61,INF,-1,0,7,0
380,1,1,-6.205,20.290,-0.58,1.90,-0.58,1.90,INF,-1,0,7,0
400,1,1,-8.742,22.350,-0.82,2.09,-0.82,2.09,INF,-1,0,7,0
420,1,1,-10.614,21.496,-0.99,2.01,-0.99,2.01,INF,-1,0,7,0
440,1,1,-10.087,22.486,-0.94,2.10,-0.94,2.10,INF,-1,0,7,0
460,1,1,-10.972,21.335,-1.03,1.99,-1.02,1.99,INF,-1,0,7,0
480,1,1,-12.140,23.544,-1.13,2.20,-1.13,2.20,INF,-1,0,7,0
500,1,1,-10.493,21.621,-0.98,2.02,-0.98,2.02,INF,-1,0,7,0
520,1,1,-11.831,23.322,-1.11,2.18,-1.10,2.18,INF,-1,0,7,0
540,1,1,-9.998,22.701,-0.93,2.12,-0.93,2.12,INF,-1,0,7,0
560,1,1,-8.536,24.195,-0.80,2.26,-0.80,2.26,INF,-1,0,7,0
580,1,1,-11.729,22.889,-1.10,2.14,-1.10,2.14,INF,-1,0,7,0
600,1,1,-11.256,22.253,-1.05,2.08,-1.05,2.08,INF,-1,1,7,0
620,1,1,-39.126,21.988,-3.65,2.05,-3.65,2.05,INF,-1,1,7,0
640,1,1,-47.710,22.818,-4.45,2.13,-4.45,2.13,INF,-1,1,7,0
