"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.20004
CalibrationParameters_A12,0.07777
CalibrationParameters_A13,0.02930
CalibrationParameters_A21,0.06347
CalibrationParameters_A22,-1.22645
CalibrationParameters_A23,-0.04557
CalibrationParameters_A31,0.00027
CalibrationParameters_A32,0.00332
CalibrationParameters_E11,-0.17994
CalibrationParameters_E12,0.00005
CalibrationParameters_E21,0.00011
CalibrationParameters_E22,0.19970
CalibrationParameters_X,-9.68533
CalibrationParameters_Y,47.80200
CalibrationParameters_Rpc,77.00783
CalibrationParameters_MeanX,190.54396
CalibrationParameters_MeanY,143.18514
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,0.108,-2.771,0.01,-0.26,0.01,-0.26,INF,-1,0,7,0
20,1,1,-1.195,-2.187,-0.11,-0.20,-0.11,-0.20,INF,-1,0,7,0
40,1,1,-0.141,-2.504,-0.01,-0.23,-0.01,-0.23,INF,-1,0,7,0
60,1,1,-0.690,-1.124,-0.06,-0.11,-0.06,-0.11,INF,-1,0,7,0
80,1,1,-0.349,-3.198,-0.03,-0.30,-0.03,-0.30,INF,-1,0,7,0
100,1,1,-1.703,-1.599,-0.16,-0.15,-0.16,-0.15,INF,-1,0,7,0
120,1,1,1.064,-1.900,0.10,-0.18,0.10,-0.18,INF,-1,0,7,0
140,1,1,0.568,-2.791,0.05,-0.26,0.05,-0.26,INF,-1,0,7,0
160,1,1,-0.357,-1.887,-0.03,-0.18,-0.03,-0.18,INF,-1,0,7,0
180,1,1,-2.223,-1.970,-0.21,-0.18,-0.21,-0.18,INF,-1,0,7,0
200,1,1,-0.723,-1.384,-0.07,-0.13,-0.07,-0.13,INF,-1,0,7,0
220,1,1,-0.669,-2.217,-0.06,-0.21,-0.06,-0.21,INF,-1,0,7,0
240,1,1,0.893,-3.235,0.08,-0.30,0.08,-0.30,INF,-1,0,7,0
260,1,1,0.519,-4.237,0.05,-0.40,0.05,-0.40,INF,-1,0,7,0
280,1,1,-1.792,-23.130,-0.17,-2.16,-0.17,-2.16,INF,-1,1,7,0
300,1,1,-4.074,-20.553,-0.38,-1.92,-0.38,-1.92,INF,-1,1,7,0
320,1,1,-1.965,-22.217,-0.18,-2.08,-0.18,-2.08,INF,-1,0,7,0
340,1,1,-3.770,-21.972,-0.35,-2.05,-0.35,-2.05,INF,-1,0,7,0
360,1,1,-1.873,-22.855,-0.18,-2.14,-0.17,-2.14,INF,-1,0,7,0
380,1,1,-4.432,-21.363,-0.41,-2.00,-0.41,-2.00,INF,-1,0,7,0
400,1,1,-1.838,-21.109,-0.17,-1.97,-0.17,-1.97,INF,-1,0,7,0
420,1,1,-2.304,-21.896,-0.22,-2.05,-0.22,-2.05,INF,-1,0,7,0
440,1,1,-3.764,-22.793,-0.35,-2.13,-0.35,-2.13,INF,-1,0,7,0
460,1,1,-3.242,-22.433,-0.30,-2.10,-0.30,-2.10,INF,-1,0,7,0
480,1,1,-42.981,3.942,-4.01,0.37,-4.01,0.37,INF,-1,0,7,0
500,1,1,-46.898,5.562,-4.37,0.52,-4.37,0.52,INF,-1,0,7,0
520,1,1,-49.450,6.293,-4.61,0.59,-4.61,0.59,INF,-1,0,7,0
540,1,1,-46.422,4.943,-4.33,0.46,-4.33,0.46,INF,-1,0,7,0
560,1,1,-48.145,5.842,-4.49,0.54,-4.49,0.55,INF,-1,0,7,0
580,1,1,-45.596,4.963,-4.25,0.46,-4.25,0.46,INF,-1,0,7,0
600,1,1,-48.241,7.739,-4.50,0.72,-4.50,0.72,INF,-1,0,7,0
620,1,1,-48.805,6.440,-4.55,0.60,-4.55,0.60,INF,-1,0,7,0
640,1,1,-48.602,5.219,-4.53,0.49,-4.53,0.49,INF,-1,0,7,0
660,1,1,-49.731,7.019,-4.64,0.65,-4.64,0.66,INF,-1,0,7,0
680,1,1,-48.731,5.932,-4.55,0.55,-4.54,0.55,INF,-1,0,7,0
700,1,1,-48.703,6.297,-4.54,0.59,-4.54,0.59,INF,-1,0,7,0
720,1,1,-49.739,8.106,-4.64,0.76,-4.64,0.76,INF,-1,0,7,0
740,1,1,-47.960,4.680,-4.47,0.44,-4.47,0.44,INF,-1,0,7,0
760,1,1,-47.791,6.114,-4.46,0.57,-4.46,0.57,INF,-1,1,7,0
780,1,1,-48.478,7.093,-4.52,0.66,-4.52,0.66,INF,-1,1,7,0
