"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.14291
CalibrationParameters_A12,0.08364
CalibrationParameters_A13,-0.01983
CalibrationParameters_A21,0.05113
CalibrationParameters_A22,-1.21275
CalibrationParameters_A23,0.03845
CalibrationParameters_A31,-0.00028
CalibrationParameters_A32,0.00132
CalibrationParameters_E11,-0.18006
CalibrationParameters_E12,0.00014
CalibrationParameters_E21,0.00013
CalibrationParameters_E22,0.19976
CalibrationParameters_X,-4.07887
CalibrationParameters_Y,43.18365
CalibrationParameters_Rpc,70.27156
CalibrationParameters_MeanX,145.64564
CalibrationParameters_MeanY,132.62566
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,1,1,-6.311,-12.219,-0.59,-1.14,-0.59,-1.14,INF,-1,0,7,0
100,1,1,-1.262,-7.881,-0.12,-0.74,-0.12,-0.74,INF,-1,0,7,0
120,1,1,-2.049,-8.726,-0.19,-0.82,-0.19,-0.82,INF,-1,0,7,0
140,1,1,-3.627,-10.043,-0.34,-0.94,-0.34,-0.94,INF,-1,0,7,0
160,1,1,-5.164,-11.005,-0.48,-1.03,-0.48,-1.03,INF,-1,0,7,0
180,1,1,-3.947,-7.864,-0.37,-0.74,-0.37,-0.74,INF,-1,0,7,0
200,1,1,-3.262,-9.198,-0.30,-0.86,-0.30,-0.86,INF,-1,0,7,0
220,1,1,-3.548,-8.814,-0.33,-0.82,-0.33,-0.82,INF,-1,0,7,0
240,1,1,-3.808,-10.037,-0.36,-0.94,-0.36,-0.94,INF,-1,0,7,0
260,1,1,15.843,9.720,1.48,0.91,1.48,0.91,INF,-1,0,7,0
280,1,1,13.722,7.003,1.28,0.65,1.28,0.65,INF,-1,0,7,0
300,1,1,11.390,6.424,1.06,0.60,1.06,0.60,INF,-1,0,7,0
320,1,1,13.656,8.511,1.28,0.80,1.28,0.80,INF,-1,0,7,0
340,1,1,12.492,7.892,1.17,0.74,1.17,0.74,INF,-1,0,7,0
360,1,1,12.928,8.198,1.21,0.77,1.21,0.77,INF,-1,0,7,0
380,1,1,12.755,8.997,1.19,0.84,1.19,0.84,INF,-1,0,7,0
400,1,1,13.365,7.776,1.25,0.73,1.25,0.73,INF,-1,0,7,0
420,1,1,12.011,8.615,1.12,0.80,1.12,0.81,INF,-1,0,7,0
440,1,1,12.865,7.024,1.20,0.66,1.20,0.66,INF,-1,0,7,0
460,1,1,13.176,6.617,1.23,0.62,1.23,0.62,INF,-1,0,7,0
480,1,1,14.207,5.442,1.33,0.51,1.33,0.51,INF,-1,0,7,0
500,1,1,12.571,5.305,1.17,0.50,1.17,0.50,INF,-1,0,7,0
520,1,1,11.811,4.049,1.10,0.38,1.10,0.38,INF,-1,0,7,0
540,1,1,14.495,5.818,1.35,0.54,1.35,0.54,INF,-1,1,7,0
560,1,1,17.723,12.505,1.66,1.17,1.66,1.17,INF,-1,1,7,0
580,1,1,17.887,11.805,1.67,1.10,1.67,1.10,INF,-1,1,7,0
600,1,1,15.955,11.353,1.49,1.06,1.49,1.06,INF,-1,1,7,0
620,1,1,16.424,11.344,1.53,1.06,1.53,1.06,INF,-1,1,7,0
640,1,1,16.693,11.839,1.56,1.11,1.56,1.11,INF,-1,1,7,0
660,1,1,17.079,11.849,1.60,1.11,1.60,1.11,INF,-1,1,7,0
680,1,1,15.159,11.210,1.42,1.05,1.42,1.05,INF,-1,1,7,0
700,1,1,16.719,8.914,1.56,0.83,1.56,0.83,INF,-1,1,7,0
720,1,1,16.979,9.041,1.59,0.84,1.59,0.85,INF,-1,1,7,0
740,1,1,13.747,6.985,1.28,0.65,1.28,0.65,INF,-1,1,7,0
760,1,1,13.604,8.064,1.27,0.75,1.27,0.75,INF,-1,1,7,0
780,1,1,14.414,6.764,1.35,0.63,1.35,0.63,INF,-1,1,7,0
800,1,1,13.732,7.073,1.28,0.66,1.28,0.66,INF,-1,1,7,0
820,1,1,15.291,8.822,1.43,0.82,1.43,0.82,INF,-1,1,7,0
840,1,1,12.147,7.713,1.14,0.72,1.14,0.72,INF,-1,1,7,0
860,1,1,14.979,6.521,1.40,0.61,1.40,0.61,INF,-1,1,7,0
880,1,1,13.827,6.236,1.29,0.58,1.29,0.58,INF,-1,1,7,0
900,1,1,29.429,13.646,2.75,1.27,2.75,1.28,INF,-1,1,7,0
920,1,1,29.535,13.188,2.76,1.23,2.76,1.23,INF,-1,1,7,0
940,1,1,26.711,15.724,2.50,1.47,2.49,1.47,INF,-1,0,7,0
960,1,1,28.572,14.026,2.67,1.31,2.67,1.31,INF,-1,0,7,0
980,1,1,30.269,15.213,2.83,1.42,2.83,1.42,INF,-1,0,7,0
1000,1,1,28.907,13.539,2.70,1.26,2.70,1.27,INF,-1,0,7,0
1020,1,1,28.454,15.557,2.66,1.45,2.66,1.45,INF,-1,0,7,0
1040,1,1,28.315,13.934,2.64,1.30,2.64,1.30,INF,-1,0,7,0
1060,1,1,26.876,13.517,2.51,1.26,2.51,1.26,INF,-1,0,7,0
1080,1,1,28.487,14.573,2.66,1.36,2.66,1.36,INF,-1,0,7,0
1100,1,1,26.568,14.528,2.48,1.36,2.48,1.36,INF,-1,0,7,0
1120,1,1,25.755,13.815,2.41,1.29,2.41,1.29,INF,-1,0,7,0
1140,1,1,24.672,17.876,2.30,1.67,2.30,1.67,INF,-1,0,7,0
1160,1,1,24.351,17.901,2.27,1.67,2.27,1.67,INF,-1,0,7,0
1180,1,1,23.253,18.155,2.17,1.70,2.17,1.70,INF,-1,1,7,0
1200,1,1,22.861,17.661,2.14,1.65,2.13,1.65,INF,-1,1,7,0
1220,1,1,24.818,18.179,2.32,1.70,2.32,1.70,INF,-1,1,7,0
1240,1,1,24.037,17.815,2.25,1.66,2.24,1.66,INF,-1,1,7,0
1260,1,1,21.512,18.059,2.01,1.69,2.01,1.69,INF,-1,1,7,0
1280,1,1,23.992,19.880,2.24,1.86,2.24,1.86,INF,-1,1,7,0
1300,1,1,23.528,19.135,2.20,1.79,2.20,1.79,INF,-1,1,7,0
1320,1,1,-5.963,5.323,-0.56,0.50,-0.56,0.50,INF,-1,1,7,0
1340,1,1,-25.123,1.834,-2.35,0.17,-2.35,0.17,INF,-1,1,7,0
1360,1,1,-24.119,1.413,-2.25,0.13,-2.25,0.13,INF,-1,0,7,0
1380,1,1,-25.600,-0.948,-2.39,-0.09,-2.39,-0.09,INF,-1,0,7,0
1400,1,1,-25.257,-0.492,-2.36,-0.05,-2.36,-0.05,INF,-1,0,7,0
1420,1,1,-25.399,2.214,-2.37,0.21,-2.37,0.21,INF,-1,0,7,0
