"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.19655
CalibrationParameters_A12,0.08702
CalibrationParameters_A13,-0.00309
CalibrationParameters_A21,0.06461
CalibrationParameters_A22,-1.25182
CalibrationParameters_A23,-0.00017
CalibrationParameters_A31,-0.00013
CalibrationParameters_A32,0.00407
CalibrationParameters_E11,-0.17977
CalibrationParameters_E12,-0.00005
CalibrationParameters_E21,0.00000
CalibrationParameters_E22,0.20009
CalibrationParameters_X,-10.09480
CalibrationParameters_Y,49.57120
CalibrationParameters_Rpc,76.63915
CalibrationParameters_MeanX,189.61327
CalibrationParameters_MeanY,143.57734
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-10.864,-1.616,-1.02,-0.15,-1.02,-0.15,INF,-1,0,7,0
20,1,1,-8.791,-2.735,-0.82,-0.26,-0.82,-0.26,INF,-1,0,7,0
40,1,1,-9.712,-1.888,-0.91,-0.18,-0.91,-0.18,INF,-1,0,7,0
60,1,1,-9.660,-1.793,-0.90,-0.17,-0.90,-0.17,INF,-1,0,7,0
80,1,1,-11.902,-1.831,-1.11,-0.17,-1.11,-0.17,INF,-1,0,7,0
100,1,1,-10.640,-3.231,-0.99,-0.30,-0.99,-0.30,INF,-1,0,7,0
120,1,1,-10.336,-2.644,-0.97,-0.25,-0.97,-0.25,INF,-1,0,7,0
140,1,1,-10.077,-2.486,-0.94,-0.23,-0.94,-0.23,INF,-1,0,7,0
160,1,1,-10.197,-1.788,-0.95,-0.17,-0.95,-0.17,INF,-1,0,7,0
180,1,1,-10.662,-3.135,-1.00,-0.29,-1.00,-0.29,INF,-1,0,7,0
200,1,1,-5.805,5.276,-0.54,0.49,-0.54,0.49,INF,-1,0,7,0
220,1,1,-6.650,9.370,-0.62,0.88,-0.62,0.88,INF,-1,0,7,0
240,1,1,-3.047,9.735,-0.28,0.91,-0.28,0.91,INF,-1,0,7,0
260,1,1,-4.800,7.928,-0.45,0.74,-0.45,0.74,INF,-1,0,7,0
280,1,1,-5.015,8.828,-0.47,0.83,-0.47,0.83,INF,-1,1,7,0
300,1,1,-5.981,9.470,-0.56,0.88,-0.56,0.89,INF,-1,1,7,0
320,1,1,-5.654,9.515,-0.53,0.89,-0.53,0.89,INF,-1,1,7,0
340,1,1,-5.374,8.132,-0.50,0.76,-0.50,0.76,INF,-1,1,7,0
360,1,1,-5.687,7.658,-0.53,0.72,-0.53,0.72,INF,-1,1,7,0
380,1,1,-6.449,7.193,-0.60,0.67,-0.60,0.67,INF,-1,1,7,0
400,1,1,-6.365,1.350,-0.59,0.13,-0.59,0.13,INF,-1,1,7,0
420,1,1,-7.289,-0.063,-0.68,-0.01,-0.68,-0.01,INF,-1,1,7,0
440,1,1,-6.809,-0.466,-0.64,-0.04,-0.64,-0.04,INF,-1,1,7,0
460,1,1,-6.729,0.688,-0.63,0.06,-0.63,0.06,INF,-1,1,7,0
480,1,1,-6.469,-0.123,-0.60,-0.01,-0.60,-0.01,INF,-1,1,7,0
500,1,1,-7.103,-0.332,-0.66,-0.03,-0.66,-0.03,INF,-1,1,7,0
520,1,1,-7.093,0.429,-0.66,0.04,-0.66,0.04,INF,-1,1,7,0
540,1,1,-7.213,1.252,-0.67,0.12,-0.67,0.12,INF,-1,1,7,0
560,1,1,-6.870,0.529,-0.64,0.05,-0.64,0.05,INF,-1,1,7,0
580,1,1,-13.712,25.975,-1.28,2.43,-1.28,2.43,INF,-1,1,7,0
600,1,1,-14.043,22.157,-1.31,2.07,-1.31,2.07,INF,-1,1,7,0
620,1,1,-13.253,22.306,-1.24,2.08,-1.24,2.08,INF,-1,0,7,0
640,1,1,-13.739,21.177,-1.28,1.98,-1.28,1.98,INF,-1,0,7,0
660,1,1,-14.578,22.759,-1.36,2.13,-1.36,2.13,INF,-1,0,7,0
680,1,1,-14.487,22.572,-1.35,2.11,-1.35,2.11,INF,-1,0,7,0
700,1,1,-15.040,23.482,-1.41,2.19,-1.40,2.19,INF,-1,0,7,0
720,1,1,-14.561,23.601,-1.36,2.20,-1.36,2.20,INF,-1,0,7,0
740,1,1,-14.474,23.767,-1.35,2.22,-1.35,2.22,INF,-1,0,7,0
760,1,1,-15.133,23.527,-1.41,2.20,-1.41,2.20,INF,-1,0,7,0
780,1,1,-14.373,24.276,-1.34,2.27,-1.34,2.27,INF,-1,0,7,0
800,1,1,-14.962,23.832,-1.40,2.23,-1.40,2.23,INF,-1,0,7,0
820,1,1,-13.663,24.052,-1.28,2.25,-1.28,2.25,INF,-1,0,7,0
840,1,1,-14.625,23.504,-1.37,2.20,-1.37,2.20,INF,-1,0,7,0
860,1,1,-14.838,23.779,-1.39,2.22,-1.39,2.22,INF,-1,1,7,0
880,1,1,-14.199,23.259,-1.33,2.17,-1.33,2.17,INF,-1,1,7,0
900,1,1,-14.589,23.914,-1.36,2.23,-1.36,2.23,INF,-1,1,7,0
920,1,1,-15.354,24.971,-1.43,2.33,-1.43,2.33,INF,-1,1,7,0
940,1,1,-12.895,32.205,-1.21,3.01,-1.20,3.01,INF,-1,1,7,0
960,1,1,-13.380,29.657,-1.25,2.77,-1.25,2.77,INF,-1,1,7,0
980,1,1,-14.057,31.336,-1.31,2.93,-1.31,2.93,INF,-1,1,7,0
1000,1,1,-12.121,30.202,-1.13,2.82,-1.13,2.82,INF,-1,1,7,0
1020,1,1,-14.796,30.833,-1.38,2.88,-1.38,2.88,INF,-1,1,7,0
1040,1,1,-13.479,31.324,-1.26,2.92,-1.26,2.93,INF,-1,1,7,0
1060,1,1,-12.388,29.609,-1.16,2.76,-1.16,2.77,INF,-1,1,7,0
1080,1,1,-11.894,30.126,-1.11,2.81,-1.11,2.81,INF,-1,1,7,0
1100,1,1,-12.404,29.604,-1.16,2.76,-1.16,2.76,INF,-1,1,7,0
1120,1,1,-12.583,30.053,-1.18,2.81,-1.17,2.81,INF,-1,1,7,0
